dates,areas,areas_smoothed,time
1989-05-30,29.0556,28.4917958879516,0
1993-06-10,29.0403,28.3403916880617,1472
1993-09-30,21.8817,28.1628908315835,1584
1994-05-28,29.0439,27.9619787116225,1824
1994-06-29,28.1196,27.7420168002873,1856
1994-07-31,24.6636,27.5136502385267,1888
1994-09-01,22.1085,27.2857366224559,1920
1995-05-15,28.8027,27.0678617472176,2176
1996-09-06,23.1336,26.8677387091107,2656
1996-09-22,21.4623,26.6884508002505,2672
1997-07-07,28.2825,26.5346784521651,2960
1997-09-09,20.6739,26.4043683649309,3024
1998-09-12,23.8806,26.2949898616235,3392
1998-09-28,23.4486,26.2030727067423,3408
1998-10-14,21.0942,26.1248365556868,3424
2001-05-31,28.5597,26.0565949971883,4384
2001-06-08,28.3788,25.9949658656869,4392
2001-07-26,24.21,25.9369472031218,4440
2001-09-04,22.5153,25.8799158331591,4480
2002-06-11,29.178,25.821591681874,4760
2002-08-30,23.8545,25.7599963004365,4840
2003-09-02,22.446,25.6937249087987,5208
2003-09-18,23.7924,25.6206602776641,5224
2004-05-15,26.8965,25.5402175991676,5464
2004-06-16,26.9676,25.4514084158793,5496
2004-09-04,22.5369,25.3537830767136,5576
2005-05-02,27.4887,25.2475222581506,5816
2005-07-21,26.0955,25.1328904519702,5896
2005-08-22,23.7915,25.0110941897943,5928
2005-09-07,21.8241,24.8838203069001,5944
2005-09-23,20.2158,24.7533215938092,5960
2006-07-08,26.1684,24.6222036215621,6248
2006-08-25,21.5253,24.4938093881279,6296
2006-09-10,21.051,24.3712268365551,6312
2007-07-11,25.9128,24.2585343748083,6616
2007-08-28,21.2364,24.1584761263745,6664
2007-09-13,20.7558,24.0745012901801,6680
2007-09-29,18.2682,24.0095043365971,6696
2008-06-11,26.3871,23.9662032672409,6952
2008-06-27,25.0038,23.9465863237607,6968
2008-07-05,24.9192,23.9518224318595,6976
2008-07-29,20.4462,23.9831580363399,7000
2008-08-14,20.4498,24.0401530388866,7016
2008-09-15,19.8126,24.1213445909969,7048
2008-12-04,19.4778,24.2237393640806,7128
2009-07-16,27.3159,24.3432465792644,7352
2009-07-24,28.3482,24.4742226259567,7360
2009-08-01,27.3456,24.6102055016513,7368
2009-08-09,27.4482,24.7444539792351,7376
2009-08-25,25.5582,24.8695974316596,7392
2010-06-01,28.9476,24.9811632856993,7672
2010-07-03,28.7766,25.0741702144924,7704
2010-07-19,28.3293,25.146152960382,7720
2010-07-27,28.5813,25.1947819669133,7728
2010-08-04,27.4527,25.220555985036,7736
2010-08-12,27.2853,25.2243167968125,7744
2010-08-20,26.352,25.2072775005512,7752
2010-09-05,24.5664,25.1721385847205,7768
2011-04-25,29.0403,25.1201374807127,8000
2011-06-28,28.2645,25.0538066299027,8064
2011-07-14,26.883,24.9752369513958,8080
2011-08-15,22.194,24.8869409491584,8112
2011-08-23,22.0203,24.7908523454614,8120
2011-10-02,20.7396,24.6881214425709,8160
2012-07-08,28.8306,24.5807455875931,8440
2012-08-25,24.9993,24.4704343519603,8488
2013-04-30,29.2932,24.3586770950742,8736
2013-05-16,29.2131,24.2467072514668,8752
2013-06-01,29.2545,24.1365317882977,8768
2013-06-09,28.3437,24.0298083491491,8776
2013-06-25,27.7056,23.9289615294359,8792
2013-07-03,28.926,23.8358261995744,8800
2013-07-19,27.7677,23.7529936719298,8816
2013-07-27,26.5644,23.6830732024845,8824
2013-08-28,24.1173,23.6291372559637,8856
2013-09-13,22.068,23.5934440312005,8872
2013-09-29,20.3589,23.5773792047572,8888
2013-10-07,18.4392,23.5835406812399,8896
2013-10-15,18.504,23.6129747673233,8904
2013-11-08,22.6737,23.6656942868438,8928
2014-02-28,24.9363,23.7412707856339,9040
2014-04-01,28.5579,23.838364150219,9072
2014-05-03,29.1447,23.9549809839612,9104
2014-07-22,26.8956,24.0884152647195,9184
2014-08-07,23.841,24.2352862861068,9200
2014-09-16,24.2208,24.3918659884223,9240
2014-11-11,21.9024,24.5544990245153,9296
2014-12-13,24.2073,24.7192007750002,9328
2015-01-14,22.2111,24.8822650860343,9360
2015-03-19,28.1142,25.0394631806325,9424
2015-05-22,29.1492,25.1876691649182,9488
2015-08-18,22.833,25.3236398580798,9576
2015-09-27,20.9412,25.4446510437431,9616
2015-10-13,21.1428,25.5480824146423,9632
2015-10-29,23.5188,25.6324100057219,9648
2015-11-30,20.0718,25.6963927450487,9680
2015-12-16,19.9647,25.7397556709846,9696
2016-03-05,25.2639,25.7625836058909,9776
2016-06-25,28.8171,25.7651789670342,9888
2016-08-28,23.0607,25.7496770257234,9952
2016-09-21,21.3471,25.7177139247778,9976
2016-09-29,20.6343,25.6716109605319,9984
2016-10-15,21.195,25.6133234552011,10000
2017-03-08,26.4033,25.5456356585713,10144
2017-03-24,29.3886,25.4706230922203,10160
2017-04-09,29.1564,25.3905266553865,10176
2017-04-25,29.2023,25.3071844760741,10192
2017-06-12,28.8522,25.2220237610937,10240
2017-08-15,24.012,25.1365559752472,10304
2017-08-23,21.933,25.0520115856506,10312
2017-09-08,22.0653,24.969554851518,10328
2017-10-02,23.0634,24.8900979420656,10352
2018-01-22,20.3436,24.8146880104564,10464
2018-02-07,24.2136,24.744217512253,10480
2018-04-12,29.2905,24.6794701843579,10544
2018-04-28,29.0727,24.6211903840999,10560
2018-05-30,29.268,24.5696029040264,10592
2018-06-07,27.7569,24.5250091901999,10600
2018-07-01,28.2105,24.4872536420267,10624
2018-08-02,24.0696,24.4560142005382,10656
2018-08-10,20.9295,24.4303589910195,10664
2018-08-18,20.79,24.4093402871489,10672
2018-08-26,20.0637,24.3918562403452,10680
2018-09-03,19.2879,24.3765798105238,10688
2018-09-11,19.6659,24.3625307407993,10696
2018-11-06,22.5414,24.3484503100166,10752
2019-04-15,29.3886,24.3333908952414,10912
2019-05-01,29.3526,24.3165021039647,10928
2019-07-04,28.6308,24.2973826237755,10992
