Raw_TermEst,Smoothed,dates,time
419.858773457726,406.674369282933,1988-11-19,0
363.848627066289,408.144924600758,1990-03-30,496
503.892538835958,409.964111789485,1993-06-10,1664
503.892538835958,412.294533151116,1993-09-30,1776
517.89196221921,415.040011548125,1993-10-16,1792
531.875676589173,418.298184768812,1994-05-12,2000
531.875676589173,422.093447549189,1994-05-28,2016
531.875676589173,426.434559973907,1994-06-29,2048
531.875676589173,431.310647392306,1994-07-31,2080
545.843421583699,436.728484400137,1994-09-01,2112
559.800795760823,442.59871088326,1994-11-04,2176
573.755328995821,448.808462286018,1995-02-24,2288
587.712160554664,455.288630171741,1995-05-15,2368
629.597635722366,461.928329115996,1996-05-01,2720
657.52802601641,468.611659333547,1996-09-06,2848
657.52802601641,475.225948077496,1996-09-22,2864
699.443691942542,481.669326013507,1997-07-07,3152
713.417832295069,487.904896317026,1997-09-09,3216
671.497714289105,493.782649058522,1998-09-12,3584
671.497714289105,499.310107697467,1998-09-28,3600
671.497714289105,504.444775178682,1998-10-14,3616
671.497714289105,509.192420776343,1999-02-03,3728
629.597635722366,513.56465448958,2000-02-22,4112
643.56161872408,517.584635601007,2000-03-25,4144
657.52802601641,521.283600666807,2000-04-10,4160
671.497714289105,524.697812574165,2000-08-24,4296
671.497714289105,527.866070466499,2000-10-27,4360
671.497714289105,530.837735162945,2000-11-28,4392
671.497714289105,533.640448364511,2001-03-04,4488
671.497714289105,536.308435404113,2001-05-23,4568
685.470077709737,538.886888590167,2001-05-31,4576
699.443691942542,541.404253722832,2001-06-08,4584
699.443691942542,543.891934918535,2001-07-26,4632
699.443691942542,546.373133582379,2001-09-04,4672
699.443691942542,548.881927715875,2002-01-18,4808
685.470077709737,551.445938626938,2002-08-30,5032
699.443691942542,554.074098805561,2003-04-27,5272
685.470077709737,556.792545188154,2003-09-02,5400
685.470077709737,559.614960721343,2003-09-18,5416
671.497714289105,562.560543287041,2004-01-24,5544
685.470077709737,565.64758360315,2004-09-04,5768
685.470077709737,568.880081586889,2004-10-22,5816
699.443691942542,572.270476580251,2004-11-07,5832
685.470077709737,575.824941729225,2005-03-31,5976
685.470077709737,579.549641387993,2005-05-02,6008
685.470077709737,583.438224164891,2005-07-21,6088
685.470077709737,587.488219208494,2005-08-06,6104
685.470077709737,591.690093759997,2005-08-22,6120
685.470077709737,596.032157639692,2005-09-07,6136
685.470077709737,600.490088581217,2005-09-23,6152
685.470077709737,605.041180260033,2005-12-12,6232
671.497714289105,609.664360360078,2006-04-19,6360
671.497714289105,614.308181322332,2006-07-08,6440
671.497714289105,618.944910624318,2006-08-09,6472
671.497714289105,623.53136370323,2006-08-25,6488
671.497714289105,628.026753042852,2006-09-10,6504
657.52802601641,632.389575136741,2007-02-01,6648
657.52802601641,636.581723069524,2007-04-22,6728
657.52802601641,640.566647274512,2007-06-09,6776
