dates,areas,areas_smoothed,time
1984-04-25,14.94,10.3839962762042,0
1984-06-12,14.9931,10.3748511636569,48
1984-10-02,3.7458,10.3658327816974,160
1984-10-18,9.3456,10.3569444368874,176
1984-12-05,6.9822,10.348189338331,224
1985-02-23,10.4328,10.3395348384075,304
1985-04-21,14.841,10.3310472948394,361
1985-05-30,14.6349,10.3227056188066,400
1985-07-10,13.0365,10.3145082958991,441
1985-07-26,11.7117,10.306457749307,457
1985-08-11,11.3454,10.2985561940624,473
1985-08-18,10.3887,10.2909201732747,480
1985-09-12,9.4545,10.2833350008924,505
1985-10-21,8.0973,10.2759053594287,544
1985-12-01,7.0389,10.2686325698772,585
1986-03-14,10.1646,10.2615176605636,688
1986-06-27,12.7332,10.2544730773655,793
1986-07-13,12.5289,10.2475716853235,809
1986-07-29,11.9169,10.2409121190156,825
1986-08-14,10.7442,10.2344089487259,841
1986-08-21,1.9242,10.2280710092957,848
1986-09-06,5.6646,10.2218789771461,864
1986-09-15,11.6415,10.2158396006915,873
1986-10-01,8.6625,10.2098954261619,889
1986-10-17,8.1054,10.2041292252448,905
1986-12-11,6.4224,10.1985075992683,960
1987-01-21,7.1415,10.1930591234883,1001
1987-02-06,8.0145,10.1877306944772,1017
1987-04-18,14.5872,10.1825340328901,1088
1987-06-30,13.5819,10.177464120472,1161
1987-08-08,10.9278,10.17254909753,1200
1987-08-17,11.4948,10.1677310325968,1209
1987-09-09,9.5742,10.16304266943,1232
1987-09-18,7.6887,10.1584329272225,1241
1987-10-20,10.7793,10.1539136979147,1273
1987-11-05,7.929,10.149485744559,1289
1988-05-06,14.7339,10.1451320497258,1472
1988-05-15,14.6331,10.1408381893914,1481
1988-06-16,14.1453,10.1366229619006,1513
1988-06-23,13.5648,10.1324617094234,1520
1988-07-18,11.9592,10.1283451403908,1545
1988-07-25,10.9584,10.12426372739,1552
1988-08-10,10.7127,10.1202077475767,1568
1988-08-19,10.0989,10.1161786571153,1577
1988-09-11,8.2008,10.1121452539065,1600
1988-09-20,10.0953,10.1081429131948,1609
1988-09-27,9.2331,10.1040748101264,1616
1989-02-02,6.5349,10.1000354487568,1744
1989-02-11,8.1324,10.0959741113227,1753
1989-03-06,8.1018,10.091781571977,1776
1989-04-16,15.3324,10.0875819969958,1817
1989-07-05,12.1716,10.0832730628828,1897
1989-07-21,11.1582,10.0788937333302,1913
1989-08-13,1.2033,10.0744250843506,1936
1989-09-07,10.1619,10.0698952693133,1961
1989-10-16,5.553,10.0652464944074,2000
1989-11-17,7.3908,10.0605253038633,2032
1989-12-28,6.1578,10.0556939051503,2073
1990-01-13,6.5637,10.0507465248921,2089
1990-03-18,12.348,10.0456726948064,2153
1990-06-29,11.8224,10.040478288301,2256
1990-07-15,10.8423,10.0351211982102,2272
1990-07-31,11.2509,10.029662008244,2288
1990-08-09,9.8001,10.0241041125918,2297
1990-08-16,9.0297,10.0183808339792,2304
