dates,areas,areas_smoothed,time
1991-09-01,1.5417,1.32928163906883,0
1992-12-08,1.0791,1.31545978728567,464
1993-09-22,1.3878,1.30323046489537,752
1994-08-24,1.1475,1.29309141626859,1088
1996-09-14,1.4751,1.28559800711666,1840
1998-10-06,1.3734,1.28123351427469,2592
2000-08-08,1.6839,1.28056903609847,3264
2000-11-12,1.3095,1.28407259487715,3360
2001-07-10,1.5381,1.29210593598311,3600
2002-06-03,2.2077,1.3046573385866,3928
2002-08-14,0.4518,1.32130358696308,4000
2002-08-22,0.2394,1.34088156672396,4008
2002-10-01,1.3914,1.36155761228297,4048
2003-08-01,1.4301,1.38105448203384,4352
2003-08-17,0.999,1.39713535252885,4368
2003-09-02,1.7829,1.40802420367963,4384
2004-08-03,1.4445,1.41269001070412,4720
2005-08-14,0.8343,1.41102386496165,5096
2005-09-07,1.2357,1.40360310931852,5120
2006-05-29,1.7289,1.39132343714972,5384
2006-07-16,1.2231,1.37561549395032,5432
2006-08-01,0.6561,1.35791282834204,5448
2006-09-26,1.5858,1.33951132222791,5504
2007-05-16,2.0115,1.32167915790324,5736
2007-09-13,1.4778,1.30547473020408,5856
2008-08-30,1.3599,1.29167857170885,6208
2009-10-20,1.4049,1.28083658613541,6624
2010-05-08,1.89,1.27327295818897,6824
2010-06-09,2.1636,1.2691685477729,6856
2010-08-04,0.3258,1.26843215970549,6912
2010-08-20,0.333,1.27107781736864,6928
2010-10-15,1.0944,1.27682035709588,6984
2011-08-07,0.2205,1.28542780827353,7280
2011-08-15,1.3095,1.29635862779809,7288
2011-08-23,0.909,1.30876611215848,7296
2011-09-16,1.1493,1.32169248990305,7320
2012-09-02,0.1377,1.33345038589915,7672
2013-04-22,2.6064,1.34207643186551,7904
2013-06-09,1.9251,1.34514001449242,7952
2013-07-27,1.5372,1.34026734942251,8000
2013-08-28,1.2717,1.32589916507412,8032
2013-09-05,0.8289,1.3022731894801,8040
2013-09-13,1.2573,1.27184096650207,8048
2013-10-15,1.3086,1.23885226289446,8080
2013-10-23,1.1871,1.20818937891476,8088
2014-08-07,1.1664,1.183902057303,8376
2014-08-15,1.548,1.16855891887133,8384
2014-08-31,0.8955,1.16339842893238,8400
2015-07-01,2.0439,1.16831017320059,8704
2015-07-09,1.512,1.18203768438716,8712
2015-08-18,1.5453,1.20245238586426,8752
2015-08-26,0.4779,1.22669296438087,8760
2015-09-03,2.5983,1.25184825895436,8768
2016-07-27,0.5751,1.27523838364263,9096
2016-08-04,0.3159,1.29485982098219,9104
2016-09-21,0.9414,1.30955414354499,9152
2016-11-24,1.5255,1.31898118585851,9216
2017-05-03,2.61,1.32358907810731,9376
2017-07-14,0.513,1.32446599818532,9448
2017-07-22,1.2807,1.32308445390838,9456
2017-08-07,1.3959,1.32109945587312,9472
2018-07-25,1.233,1.32004689415204,9824
2018-09-19,1.1142,1.32107005562352,9880
2019-05-09,2.61,1.32473471158002,10112
2019-07-12,1.7334,1.33098820689178,10176
2019-07-28,1.53,1.33926799883489,10192
2019-08-13,0.7848,1.34867642459371,10208
2019-08-29,1.2357,1.35833815006135,10224
2019-09-06,0.9927,1.36738051544016,10232
