Raw_TermEst,Smoothed,dates,time
1825.9680673036,1786.68366406636,1994-07-31,0
1825.9680673036,1777.8221291149,1994-09-01,32
1757.99821627673,1766.98140182443,1995-05-15,288
1690.0206752417,1754.18531329177,1997-07-07,1072
1690.0206752417,1739.64904985182,1997-09-09,1136
1588.0430638609,1723.6347178936,2000-08-24,2216
1622.02459224382,1706.27959939457,2001-07-26,2552
1554.08604492227,1687.62302898988,2002-06-11,2872
1588.0430638609,1667.97340672568,2005-09-07,4056
1588.0430638609,1648.44720932561,2006-08-09,4392
1622.02459224382,1630.7851869416,2006-09-10,4424
1622.02459224382,1616.43638209341,2007-08-28,4776
1622.02459224382,1605.81329707601,2007-09-13,4792
1588.0430638609,1598.41321757108,2008-07-29,5112
1588.0430638609,1593.4656401566,2008-09-15,5160
1520.15248513406,1590.40511513871,2010-07-19,5832
1554.08604492227,1589.1488566951,2010-07-27,5840
1486.23046812075,1589.7607651044,2011-04-25,6112
1520.15248513406,1592.02374070071,2011-09-08,6248
1452.30261521692,1595.09798653774,2013-05-16,6864
1486.23046812075,1597.93282360262,2013-06-01,6880
1486.23046812075,1599.86562249221,2013-06-09,6888
1486.23046812075,1600.6052220719,2013-09-13,6984
1486.23046812075,1600.01448637608,2013-09-29,7000
1486.23046812075,1597.87719076837,2013-10-07,7008
1452.30261521692,1593.82665621233,2014-02-28,7152
1452.30261521692,1587.41087908224,2014-04-01,7184
1452.30261521692,1578.20019589126,2014-08-07,7312
1418.35515519038,1566.08968786736,2015-01-14,7472
1452.30261521692,1551.54772221507,2015-05-22,7600
1452.30261521692,1535.70124183007,2015-08-18,7688
1418.35515519038,1520.05035649681,2016-01-17,7840
1418.35515519038,1505.8640226977,2016-03-05,7888
1452.30261521692,1493.86588229441,2016-08-28,8064
1452.30261521692,1484.09425877549,2016-09-21,8088
1452.30261521692,1476.20746727397,2016-09-29,8096
1418.35515519038,1469.74721316565,2017-04-09,8288
1486.23046812075,1464.33843468496,2017-09-08,8440
1418.35515519038,1459.76640721965,2018-04-12,8656
1452.30261521692,1456.01776201094,2018-04-28,8672
1452.30261521692,1453.21086781378,2018-05-30,8704
1452.30261521692,1451.52334844554,2018-08-10,8776
1452.30261521692,1451.04794120831,2018-08-18,8784
1452.30261521692,1451.71484667339,2018-08-26,8792
1452.30261521692,1453.30606393475,2018-09-03,8800
1452.30261521692,1455.53866281179,2019-05-01,9040
1486.23046812075,1458.16034218904,2019-06-18,9088
1520.15248513406,1460.97427092657,2019-09-14,9176
1520.15248513406,1463.86419711413,2019-09-22,9184
