Raw_TermEst,Smoothed,dates,time
2945.04544571846,2880.3373114943,1999-11-21,0
2945.04544571846,2879.97396287757,2000-01-08,48
2907.06732172296,2879.6125170267,2000-02-09,80
2868.94598843554,2879.25353594031,2000-02-25,96
2868.94598843554,2878.89659277141,2000-04-13,144
2907.06732172296,2878.54134149748,2000-08-03,256
2868.94598843554,2878.18869616271,2000-08-19,272
2868.94598843554,2877.83851550156,2000-10-22,336
2868.94598843554,2877.49092247642,2001-01-10,416
2868.94598843554,2877.14646757648,2001-03-15,480
2868.94598843554,2876.80452516359,2001-03-31,496
2868.94598843554,2876.46600722118,2001-04-16,512
2868.94598843554,2876.13110444775,2001-05-02,528
2868.94598843554,2875.79892117405,2001-06-03,560
2868.94598843554,2875.47065790173,2001-06-19,576
2868.94598843554,2875.145850558,2001-07-05,592
2868.94598843554,2874.82537456546,2001-09-07,656
2868.94598843554,2874.50916242254,2001-09-23,672
2868.94598843554,2874.19746525413,2001-10-25,704
2868.94598843554,2873.89053445963,2001-12-12,752
2868.94598843554,2873.58865221453,2002-01-29,800
2868.94598843554,2873.292163659,2002-02-14,816
2868.94598843554,2873.00136011417,2002-04-03,864
2868.94598843554,2872.71618976932,2002-04-19,880
2907.06732172296,2872.43731999411,2002-07-24,976
2868.94598843554,2872.16513556174,2002-12-31,1136
2868.94598843554,2871.89996972734,2003-02-01,1168
2868.94598843554,2871.64183638632,2003-03-05,1200
2868.94598843554,2871.3917755505,2003-03-21,1216
2868.94598843554,2871.1498733004,2003-08-12,1360
2868.94598843554,2870.91652472187,2003-08-28,1376
2868.94598843554,2870.6921278207,2003-10-15,1424
2868.94598843554,2870.47703939158,2003-11-24,1464
2868.94598843554,2870.27172718236,2003-12-02,1472
2868.94598843554,2870.07655918041,2003-12-10,1480
2868.94598843554,2869.89193297054,2004-01-03,1504
2868.94598843554,2869.71821980065,2004-01-27,1528
2868.94598843554,2869.55579181878,2004-02-04,1536
2868.94598843554,2869.40501035624,2004-03-23,1584
2868.94598843554,2869.26652818119,2004-04-08,1600
2868.94598843554,2869.14013513634,2004-04-24,1616
2830.67743705631,2869.02640517359,2004-05-18,1640
2830.67743705631,2868.92564814797,2004-05-26,1648
2868.94598843554,2868.83815632486,2004-10-09,1784
2868.94598843554,2868.76420514776,2004-10-25,1800
2868.94598843554,2868.70405592458,2004-11-02,1808
2868.94598843554,2868.65794777986,2004-11-10,1816
2868.94598843554,2868.62611153056,2004-11-18,1824
2868.94598843554,2868.60874852858,2004-11-26,1832
2868.94598843554,2868.60604781085,2005-02-14,1912
2868.94598843554,2868.61817996048,2005-03-02,1928
2868.94598843554,2868.64530420806,2005-03-26,1952
2868.94598843554,2868.68754696576,2005-04-27,1984
2868.94598843554,2868.74502270862,2005-05-21,2008
2868.94598843554,2868.8178207165,2005-06-22,2040
2868.94598843554,2868.9060109408,2005-08-17,2096
2868.94598843554,2869.00963244964,2005-08-25,2104
2830.67743705631,2869.12814320529,2005-09-10,2120
2868.94598843554,2869.26223557304,2006-01-08,2240
2868.94598843554,2869.4119240952,2006-01-24,2256
2868.94598843554,2869.57687832658,2006-02-01,2264
