dates,areas,areas_smoothed,time
1992-02-25,6.727973,5.731694904162713,0
1993-06-10,6.3035775,5.715869200699584,471
1993-07-05,4.94222,5.700307598857405,496
1993-07-28,5.0808835,5.684918972502709,519
1994-05-28,6.5022925,5.669663026023972,823
1994-06-29,5.0895825,5.654492626053279,855
1994-09-01,4.3977695,5.639353716282111,919
1995-05-15,6.871797,5.624185316572595,1175
1996-09-06,4.3795615,5.608854880870023,1655
1996-09-22,4.3408265,5.593277673264673,1671
1997-09-09,4.2763595,5.577533730045772,2023
1998-08-11,4.3085945,5.561437868002642,2359
1998-09-12,4.4331435,5.544896174527411,2391
1998-10-14,4.505637,5.527810573456189,2423
1999-04-17,6.221307,5.5100802226482655,2608
1999-09-07,4.6189795,5.491603291322437,2751
2000-07-16,4.4394835,5.472186279410647,3064
2000-08-24,4.501377,5.451855980957686,3103
2000-09-02,4.4626665,5.430508633145803,3112
2001-07-26,4.4436,5.40804058001799,3439
2001-08-20,4.5042525,5.3843827000639495,3464
2001-10-07,4.61048,5.359487085505355,3512
2001-11-08,5.379968,5.333394029684876,3544
2002-06-04,6.4032175,5.306000481618925,3752
2002-06-11,5.8359875,5.277310594310859,3759
2002-08-23,4.385215,5.247535042764768,3832
2002-08-30,4.395991,5.216722480788615,3839
2003-07-16,4.478227,5.18502372370161,4159
2004-05-15,2.905558,5.1526292563441904,4463
2004-08-12,4.9178465,5.119766913703138,4552
2004-09-13,5.470237,5.086697424048329,4584
2005-01-19,5.2099315,5.053679730610938,4712
2005-07-21,4.629617,5.021068042068325,4895
2005-08-06,4.9347955,4.989152437834325,4911
2005-08-15,4.422926,4.958242263718762,4920
2005-08-22,5.1544745,4.928632590893096,4927
2005-08-31,5.056958,4.900593651393785,4936
2005-09-07,4.9733465,4.874276403941898,4943
2006-04-28,3.16791575,4.850020838424899,5176
2006-07-08,5.057997,4.827912418120678,5247
2006-07-24,4.4807285,4.808075095637674,5263
2006-09-03,5.530912,4.790507077732458,5304
2006-09-10,5.2710545,4.775251219395701,5311
2007-04-15,5.483071,4.762239484805202,5528
