"","dates","areas"
"1","1986-07-25",12.4515
"2","1987-01-10",8.1855
"3","1987-09-30",11.5794
"4","1987-10-09",10.6362
"5","1987-11-26",8.2224
"6","1988-06-28",15.0921
"7","1988-10-18",12.2013
"8","1988-12-14",8.6706
"9","1988-12-30",8.3052
"10","1989-01-06",8.4294
"11","1989-01-31",9.6318
"12","1989-08-02",10.3644
"13","1989-09-12",12.5811
"14","1989-09-28",11.142
"15","1990-05-10",15.2316
"16","1990-08-30",13.0068
"17","1990-12-11",8.0343
"18","1991-05-20",13.6602
"19","1991-07-07",12.0591
"20","1991-08-17",10.3149
"21","1991-09-02",12.4038
"22","1991-12-23",7.3683
"23","1992-06-07",15.6978
"24","1992-08-10",13.9059
"25","1992-10-29",11.1006
"26","1993-12-28",8.1864
"27","1994-01-04",6.7617
"28","1994-11-20",8.802
"29","1995-03-21",11.8845
"30","1995-05-31",13.5819
"31","1995-08-19",12.4596
"32","1995-09-04",8.4546
"33","1995-09-13",10.8189
"34","1995-09-29",10.7235
"35","1995-11-16",8.6499
"36","1996-08-14",9.3636
"37","1996-09-22",9.0558
"38","1997-07-23",11.9574
"39","1997-08-01",10.5039
"40","1997-10-11",9.6579
"41","1997-12-23",6.4359
"42","1998-04-21",12.2229
"43","1998-08-20",15.5394
"44","1998-09-28",10.134
"45","1998-10-07",9.5247
"46","1998-10-30",8.6994
"47","1998-11-08",7.8381
"48","1998-11-24",7.2522
"49","1999-05-10",12.3039
"50","1999-06-27",11.7378
"51","1999-07-21",13.8492
"52","1999-07-22",12.8322
"53","1999-07-29",10.7082
"54","1999-08-07",9.9567
"55","1999-09-15",10.4319
"56","1999-09-24",10.3482
"57","1999-10-26",10.5687
"58","2000-06-21",13.5018
"59","2000-07-08",12.6324
"60","2000-07-15",12.1311
"61","2000-07-24",7.272
"62","2000-08-08",12.7881
"63","2000-10-12",13.2651
"64","2000-10-19",12.8817
"65","2000-11-04",11.4885
"66","2001-03-12",12.1014
"67","2001-03-13",12.4164
"68","2001-06-24",11.5479
"69","2001-07-03",12.8241
"70","2001-08-28",10.4589
"71","2001-09-21",14.8239
"72","2002-03-08",11.3895
"73","2002-04-24",12.4182
"74","2002-08-14",14.4945
"75","2002-08-15",12.6432
"76","2002-08-22",8.8578
"77","2002-08-30",8.8344
"78","2002-09-15",10.4526
"79","2002-10-18",8.2152
"80","2003-04-20",13.41
"81","2003-07-08",12.3354
"82","2003-08-18",11.3796
"83","2003-09-02",7.5051
"84","2003-09-10",11.1996
"85","2004-06-01",15.5781
"86","2004-07-10",14.967
"87","2004-07-18",8.685
"88","2004-07-19",11.5506
"89","2004-07-26",10.6758
"90","2004-08-03",5.8725
"91","2004-08-04",8.2728
"92","2004-08-28",8.1468
"93","2005-05-02",9.9837
"94","2005-05-03",14.4603
"95","2005-06-11",15.2766
"96","2005-07-13",14.5944
"97","2005-08-06",10.0827
