"","dates","areas"
"1","1987-02-03",10.206
"2","1987-07-13",21.375
"3","1987-07-29",20.1564
"4","1989-08-03",26.2116
"5","1989-08-19",15.6465
"6","1989-12-25",7.6914
"7","1990-01-10",7.9596
"8","1990-02-11",12.4308
"9","1990-06-03",23.0355
"10","1990-06-19",23.4468
"11","1990-08-22",13.1184
"12","1990-11-26",9.531
"13","1991-10-28",15.3144
"14","1991-11-13",11.9043
"15","1992-01-16",16.8246
"16","1992-02-01",1.0188
"17","1992-07-26",21.2724
"18","1992-12-01",8.3691
"19","1993-01-18",8.4897
"20","1993-07-29",18.1926
"21","1993-08-30",23.0751
"22","1993-10-01",13.5855
"23","1993-10-17",13.2264
"24","1994-03-26",18.9189
"25","1994-07-16",20.7747
"26","1994-10-20",16.2207
"27","1994-11-05",13.4946
"28","1995-01-08",7.0551
"29","1995-01-24",8.3106
"30","1995-03-29",20.9277
"31","1995-04-30",24.0957
"32","1995-09-21",12.6828
"33","1995-11-24",7.1631
"34","1995-12-10",6.6204
"35","1995-12-17",3.1338
"36","1996-01-18",2.7909
"37","1996-01-27",7.452
"38","1996-07-12",1.035
"39","1996-07-21",25.8624
"40","1996-08-29",4.5162
"41","1996-09-23",12.213
"42","1996-10-09",13.095
"43","1996-11-17",5.3604
"44","1996-12-12",8.118
"45","1997-01-29",9.9288
"46","1997-02-14",13.1247
"47","1997-03-02",16.6464
"48","1997-03-18",19.8261
"49","1997-04-03",23.1444
"50","1997-07-08",16.686
"51","1997-07-24",15.9255
"52","1997-08-09",13.5783
"53","1997-09-26",11.1924
"54","1997-10-12",10.0377
"55","1997-10-28",1.0386
"56","1997-11-29",0.2628
"57","1998-01-16",8.9397
"58","1998-05-24",28.2726
"59","1998-07-27",15.5817
"60","1998-08-28",22.6422
"61","1998-09-13",13.6062
"62","1999-02-20",14.5305
"63","1999-12-05",9.117
"64","2000-01-22",9.3195
"65","2000-01-30",12.2265
"66","2000-07-16",20.9853
"67","2000-08-09",10.7712
"68","2000-09-02",15.8571
"69","2000-12-07",1.1889
"70","2001-03-13",19.4895
"71","2001-03-29",21.3651
"72","2001-04-14",22.6881
"73","2001-07-11",0.6678
"74","2001-08-04",12.7764
"75","2001-09-29",16.6383
"76","2001-10-23",15.7806
"77","2001-11-08",12.7359
"78","2001-12-18",8.9235
"79","2002-01-03",9.8208
