"","dates","areas"
"1","1984-05-23",12.825
"2","1984-06-01",12.6873
"3","1984-07-28",12.0906
"4","1984-08-13",11.5632
"5","1984-09-14",10.3959
"6","1984-09-30",11.3031
"7","1985-04-08",12.8268
"8","1985-06-20",12.6855
"9","1985-06-27",12.6477
"10","1985-07-29",10.6749
"11","1985-08-16",10.8531
"12","1986-06-07",12.6261
"13","1986-08-10",10.8081
"14","1986-09-02",10.5966
"15","1987-06-17",12.7296
"16","1987-08-20",11.4408
"17","1987-09-05",11.097
"18","1988-03-24",12.8268
"19","1988-04-25",12.8268
"20","1988-05-27",12.8268
"21","1988-06-21",11.7648
"22","1988-06-28",12.5325
"23","1988-07-05",12.3264
"24","1988-07-14",11.466
"25","1988-08-24",10.3725
"26","1988-09-25",10.6524
"27","1989-05-23",12.8268
"28","1989-06-15",12.6927
"29","1989-07-10",12.5721
"30","1989-07-26",12.4101
"31","1989-08-09",11.9655
"32","1990-04-22",12.8268
"33","1990-06-09",12.7692
"34","1990-06-18",12.6693
"35","1990-06-25",12.6405
"36","1990-07-11",12.2931
"37","1990-07-20",12.5631
"38","1990-07-29",12.3696
"39","1990-08-30",11.9214
"40","1990-09-06",11.6208
"41","1991-06-12",12.8268
"42","1991-06-21",12.6927
"43","1992-05-22",12.8268
"44","1992-05-29",12.8268
"45","1992-07-18",12.6423
"46","1992-08-26",11.3139
"47","1992-09-20",11.8215
"48","1993-04-14",12.8268
"49","1993-05-09",12.8268
"50","1993-06-10",12.7134
"51","1993-06-26",12.7071
"52","1993-07-21",12.5163
"53","1993-09-14",11.7936
"54","1993-10-09",12.3003
"55","1994-05-05",12.8268
"56","1994-05-21",12.8268
"57","1994-07-06",12.7332
"58","1994-07-31",12.042
"59","1995-05-08",12.8268
"60","1995-05-31",12.8259
"61","1995-08-10",11.9727
"62","1995-09-13",11.8917
"63","1996-05-17",12.8268
"64","1996-05-24",12.8268
"65","1996-06-18",12.708
"66","1996-06-25",12.6954
"67","1996-07-13",12.5865
"68","1996-07-20",12.438
"69","1996-08-05",11.9412
"70","1996-08-12",12.0582
"71","1996-08-14",11.6154
"72","1996-09-06",11.2185
"73","1997-05-11",12.7557
"74","1997-05-29",12.8268
"75","1997-06-12",12.825
"76","1997-06-21",12.8187
"77","1997-06-28",12.8061
"78","1997-07-14",12.4452
"79","1997-07-23",12.3165
"80","1997-08-15",11.6001
"81","1997-10-02",11.8503
"82","1998-09-03",10.8657
"83","1999-08-15",10.4688
"84","1999-09-07",9.6147
"85","1999-09-14",9.4527
"86","1999-09-23",9.8415
"87","1999-10-02",5.0832
"88","2000-06-21",12.8025
"89","2000-06-30",12.6603
"90","2000-07-23",12.2499
"91","2000-10-02",10.0683
"92","2000-10-04",9.8424
"93","2000-10-27",9.5814
"94","2001-03-13",12.8268
"95","2001-04-28",12.8268
"96","2001-05-30",12.8268
"97","2001-06-24",12.3822
"98","2001-07-17",11.0736
"99","2001-08-20",10.0368
"100","2001-09-12",4.1454
"101","2001-09-19",9.2808
"102","2002-03-23",12.816
"103","2002-04-01",12.8268
"104","2002-04-17",12.8268
"105","2002-06-04",12.4299
"106","2002-06-11",12.2058
"107","2002-06-27",11.7837
"108","2002-07-20",11.1348
"109","2002-08-05",10.3914
"110","2002-08-07",10.3275
"111","2002-08-23",9.3537
"112","2002-09-08",9.5697
"113","2002-09-22",10.1088
"114","2003-04-11",12.8268
"115","2003-04-20",12.8268
"116","2003-04-27",12.8268
"117","2003-05-20",12.8268
"118","2003-07-25",8.5194
"119","2003-08-10",8.0847
"120","2004-04-20",8.3196
"121","2004-04-21",12.8268
"122","2004-04-28",12.8268
"123","2004-05-06",8.2755
"124","2004-05-07",12.8223
"125","2004-05-30",12.6522
"126","2004-06-01",12.5388
"127","2004-07-03",12.3417
"128","2004-07-10",12.4614
"129","2004-08-02",11.4615
"130","2004-08-03",10.251
"131","2004-08-19",10.7154
"132","2005-07-04",12.2652
"133","2005-07-05",11.187
"134","2005-07-06",12.2292
"135","2005-07-20",9.7164
"136","2005-07-22",11.8665
"137","2005-08-23",7.9479
"138","2006-04-11",12.8268
"139","2006-05-05",11.6532
"140","2006-05-06",12.8268
