"","dates","areas"
"215","2017-05-12",3.6315
"216","2017-05-13",5.4243
"217","2017-06-13",3.2706
"218","2017-06-14",4.6782
"219","2017-07-01",3.6144
"220","2017-07-09",3.4857
"221","2017-07-23",3.7143
"222","2017-07-25",3.51
"223","2017-08-08",2.4975
"224","2017-09-18",2.2518
"225","2017-09-19",1.4661
"226","2017-09-25",1.3266
"227","2017-09-26",1.2699
"228","2017-09-27",1.2312
"229","2017-10-11",0.8991
"230","2017-10-13",1.4553
"231","2017-10-20",1.5003
"232","2018-02-16",1.089
"233","2018-02-25",1.4337
"234","2018-03-13",2.6496
"235","2018-04-14",4.4559
"236","2018-05-22",1.8144
"237","2018-05-25",4.1625
"238","2018-05-31",2.6415
"239","2018-06-17",4.1256
"240","2018-07-02",2.727
"241","2018-07-10",2.8485
"242","2018-07-18",1.2114
"243","2018-07-27",0.5463
"244","2018-07-28",1.1853
"245","2018-09-05",0.4023
"246","2018-09-20",2.0799
"247","2018-11-08",0.8631
"248","2019-04-10",4.3227
"249","2019-04-17",4.6935
"250","2019-04-18",3.9006
"251","2019-04-24",5.4288
"252","2019-04-26",4.8591
"253","2019-05-18",3.4047
"254","2019-05-19",5.0634
"255","2019-06-05",4.2777
"256","2019-06-13",4.5756
"257","2019-07-05",2.7225
"258","2019-07-29",2.1699
"259","2019-07-30",2.0277
"260","2019-08-17",0.9018
"261","2019-09-01",0.2475
"262","2019-09-02",0.9531
"263","2019-09-24",3.1977
"264","2019-09-25",4.4514
"265","2019-10-10",3.7224
"266","2019-10-17",1.674
