"","dates","areas"
"1","1991-09-20",15.8409
"2","1992-05-17",21.0564
"3","1992-07-13",19.0188
"4","1994-06-08",20.1699
"5","1994-07-26",17.01
"6","1996-07-31",15.4881
"7","1997-09-04",13.2705
"8","1997-10-06",14.8599
"9","1999-08-17",18.1908
"10","1999-08-26",13.0437
"11","2000-07-27",15.8787
"12","2000-08-28",17.4807
"13","2000-09-04",17.4546
"14","2001-08-22",13.077
"15","2002-06-22",20.2527
"16","2002-08-18",18.243
"17","2002-08-25",15.9192
"18","2003-08-12",14.5503
"19","2004-08-14",14.6646
"20","2005-04-27",17.2854
"21","2005-06-23",12.2355
"22","2005-07-09",11.8332
"23","2005-08-01",13.1562
"24","2006-08-12",13.428
"25","2006-08-13",8.568
"26","2006-08-20",10.7307
"27","2006-08-21",12.798
"28","2006-08-29",9.2871
"29","2006-09-06",14.9868
"30","2006-09-13",13.1895
"31","2007-06-20",16.5357
"32","2007-06-21",20.1501
"33","2007-07-30",17.883
"34","2007-08-08",16.1523
"35","2007-09-16",14.1822
"36","2007-09-17",9.3807
"37","2008-06-14",18.2205
"38","2008-06-15",11.7819
"39","2008-08-01",12.1275
"40","2008-08-09",9.3393
"41","2010-04-25",17.5212
"42","2010-04-26",20.9403
"43","2010-08-08",10.1934
"44","2010-08-31",13.8267
"45","2010-10-26",15.5313
"46","2010-10-27",9.873
"47","2011-07-09",18.3627
"48","2011-07-17",15.2262
"49","2011-09-11",14.5458
"50","2011-09-12",9.7488
"51","2012-08-13",9.3024
"52","2012-08-20",10.8045
"53","2013-07-30",18.0234
"54","2013-09-08",14.4108
"55","2013-09-09",17.01
"56","2014-07-17",17.4438
"57","2014-07-25",14.0004
"58","2014-08-10",12.0276
"59","2014-08-11",14.2146
"60","2015-04-24",20.8125
"61","2015-07-12",15.0534
"62","2015-07-13",17.1927
"63","2015-07-21",7.9803
"64","2015-08-05",11.3643
"65","2015-08-06",7.6338
"66","2015-08-13",12.9861
"67","2015-08-21",11.9439
"68","2015-11-25",12.5523
"69","2016-02-22",15.7239
"70","2016-04-17",19.8423
"71","2016-05-12",21.3588
"72","2016-05-19",21.2454
"73","2016-07-14",15.5448
"74","2016-09-01",14.5116
"75","2016-09-08",13.4253
"76","2016-09-24",15.4215
"77","2017-01-07",11.6973
"78","2017-02-08",14.4018
"79","2017-02-24",16.128
"80","2017-03-19",18.5535
"81","2017-04-20",20.8071
"82","2017-05-14",17.6445
"83","2017-07-09",16.4646
"84","2017-07-25",13.7871
"85","2017-08-02",11.2419
"86","2017-08-10",12.0285
"87","2017-09-03",14.3343
"88","2017-09-04",16.8903
"89","2017-12-16",11.4462
"90","2018-02-02",13.59
"91","2018-02-11",14.7042
"92","2018-03-22",19.7613
"93","2018-07-20",15.1848
"94","2018-08-05",13.8834
"95","2019-06-21",16.8048
"96","2019-07-16",11.709
"97","2019-07-23",13.3272
"98","2019-07-31",13.9221
"99","2019-08-08",9.6759
