"","dates","areas"
"1","1989-05-30",3.7287
"2","1990-03-30",3.69
"3","1993-09-30",2.5893
"4","1994-05-12",3.7638
"5","1994-05-28",3.7323
"6","1994-07-31",3.0555
"7","1995-02-24",2.5776
"8","1995-05-15",3.7062
"9","1996-09-06",2.6406
"10","1996-09-22",2.3589
"11","1998-09-28",2.6811
"12","1998-10-14",2.4048
"13","2000-11-28",1.9566
"14","2002-01-18",1.9251
"15","2002-06-11",3.753
"16","2002-08-30",2.9844
"17","2003-09-02",2.9385
"18","2005-09-07",2.4147
"19","2005-09-23",2.4543
"20","2006-04-19",3.4524
"21","2006-08-09",2.6487
"22","2006-08-25",2.7225
"23","2006-09-10",2.7999
"24","2007-08-28",2.6964
"25","2007-09-13",2.3616
"26","2007-09-29",2.2941
"27","2008-07-05",3.1041
"28","2008-07-29",2.5452
"29","2008-08-30",2.7081
"30","2008-09-15",2.5902
"31","2010-06-01",3.5838
"32","2010-11-16",2.1105
"33","2011-04-25",3.7053
"34","2011-08-15",3.1149
"35","2011-08-23",2.6676
"36","2011-09-08",2.484
"37","2011-10-02",2.4039
"38","2012-08-25",2.7666
"39","2012-09-10",2.7657
"40","2012-12-31",1.7478
"41","2013-05-16",3.7413
"42","2013-07-27",3.2805
"43","2013-08-04",2.8638
"44","2013-08-12",2.5767
"45","2013-08-28",2.5749
"46","2013-09-29",2.0151
"47","2013-10-07",1.9098
"48","2013-10-15",2.1645
"49","2013-11-08",2.3643
"50","2013-11-24",1.9215
"51","2014-01-11",1.8621
"52","2014-02-28",2.9673
"53","2014-04-01",3.5955
"54","2014-08-07",2.9232
"55","2014-09-16",2.5164
"56","2014-12-29",2.7513
"57","2015-01-14",2.8143
"58","2015-03-19",3.5298
"59","2015-05-06",3.762
"60","2015-05-22",3.7467
"61","2015-08-10",2.8008
"62","2015-08-18",2.4039
"63","2015-10-05",2.4408
"64","2015-12-16",1.7118
"65","2016-01-17",2.0988
"66","2016-02-02",2.142
"67","2016-03-05",3.0276
"68","2016-05-08",3.7413
"69","2016-08-28",2.6325
"70","2016-09-13",2.0844
"71","2016-09-21",2.3724
"72","2016-09-29",2.2041
"73","2017-03-08",3.2256
"74","2017-03-24",3.7638
"75","2017-04-09",3.7017
"76","2017-04-25",3.7269
"77","2017-08-15",2.8809
"78","2018-01-22",1.8927
"79","2018-02-07",2.2707
"80","2018-02-23",2.9835
"81","2018-04-12",3.6891
"82","2018-05-30",3.753
"83","2018-08-02",3.0645
"84","2018-08-18",2.6298
"85","2018-08-26",2.5623
"86","2018-09-19",3.0177
"87","2019-01-25",3.4434
"88","2019-02-10",2.9088
"89","2019-03-14",3.7323
"90","2019-05-01",3.7521
"91","2019-05-09",3.7638
"92","2019-06-18",3.7404
"93","2019-08-13",2.6478
"94","2019-08-29",2.4282
"95","2019-09-06",2.4147
"96","2019-09-14",2.2131
"97","2019-09-22",2.0493
"98","2019-10-24",2.7603
"99","2019-11-09",2.3805
"100","2019-12-27",1.6623
