"","dates","areas"
"1","1984-04-25",14.94
"2","1984-06-12",14.9931
"3","1984-10-02",3.7458
"4","1984-10-18",9.3456
"5","1984-12-05",6.9822
"6","1985-02-23",10.4328
"7","1985-04-21",14.841
"8","1985-05-30",14.6349
"9","1985-07-10",13.0365
"10","1985-07-26",11.7117
"11","1985-08-11",11.3454
"12","1985-08-18",10.3887
"13","1985-09-12",9.4545
"14","1985-10-21",8.0973
"15","1985-12-01",7.0389
"16","1986-03-14",10.1646
"17","1986-06-27",12.7332
"18","1986-07-13",12.5289
"19","1986-07-29",11.9169
"20","1986-08-14",10.7442
"21","1986-08-21",1.9242
"22","1986-09-06",5.6646
"23","1986-09-15",11.6415
"24","1986-10-01",8.6625
"25","1986-10-17",8.1054
"26","1986-12-11",6.4224
"27","1987-01-21",7.1415
"28","1987-02-06",8.0145
"29","1987-04-18",14.5872
"30","1987-06-30",13.5819
"31","1987-08-08",10.9278
"32","1987-08-17",11.4948
"33","1987-09-09",9.5742
"34","1987-09-18",7.6887
"35","1987-10-20",10.7793
"36","1987-11-05",7.929
"37","1988-05-06",14.7339
"38","1988-05-15",14.6331
"39","1988-06-16",14.1453
"40","1988-06-23",13.5648
"41","1988-07-18",11.9592
"42","1988-07-25",10.9584
"43","1988-08-10",10.7127
"44","1988-08-19",10.0989
"45","1988-09-11",8.2008
"46","1988-09-20",10.0953
"47","1988-09-27",9.2331
"48","1989-02-02",6.5349
"49","1989-02-11",8.1324
"50","1989-03-06",8.1018
"51","1989-04-16",15.3324
"52","1989-07-05",12.1716
"53","1989-07-21",11.1582
"54","1989-08-13",1.2033
"55","1989-09-07",10.1619
"56","1989-10-16",5.553
"57","1989-11-17",7.3908
"58","1989-12-28",6.1578
"59","1990-01-13",6.5637
"60","1990-03-18",12.348
"61","1990-06-29",11.8224
"62","1990-07-15",10.8423
"63","1990-07-31",11.2509
"64","1990-08-09",9.8001
"65","1990-08-16",9.0297
"66","1990-09-01",8.9118
"67","1990-09-10",9.1566
"68","1990-10-03",8.7714
"69","1990-10-19",6.6069
"70","1990-12-06",6.7662
"71","1991-02-24",9.6435
"72","1991-05-31",14.1948
"73","1991-06-25",12.663
"74","1991-07-11",11.6622
"75","1991-07-18",10.7343
"76","1991-08-12",10.9035
"77","1991-08-19",9.2016
"78","1991-08-28",10.6389
"79","1991-09-04",8.3763
"80","1992-01-03",7.8003
"81","1992-01-26",10.0035
"82","1992-04-24",14.9274
"83","1992-05-10",14.5836
"84","1992-08-21",2.4012
"85","1992-09-06",2.7846
"86","1992-09-15",9.3816
"87","1992-10-08",10.2276
"88","1992-11-02",11.0754
"89","1993-01-05",7.4646
"90","1993-01-21",7.5357
"91","1993-02-06",8.2836
"92","1993-02-13",8.6472
"93","1993-03-10",11.9808
"94","1993-06-05",13.6926
"95","1993-07-07",11.4372
"96","1993-07-16",12.5109
"97","1993-07-23",11.0628
"98","1993-08-01",10.7982
"99","1993-08-17",9.7353
"100","1993-09-02",9.783
"101","1993-10-20",9.4284
"102","1993-10-27",9.2007
"103","1993-11-05",9.1044
