"","dates","areas"
"1","1988-11-19",2.4435
"2","1989-05-30",5.0346
"3","1990-03-30",4.9752
"4","1993-06-10",4.8483
"5","1993-08-13",4.1607
"6","1993-09-30",3.1779
"7","1994-04-26",4.9851
"8","1994-05-28",5.0247
"9","1994-06-29",4.3839
"10","1994-09-01",2.4966
"11","1995-02-24",3.3507
"12","1995-05-15",5.0067
"13","1995-11-23",1.9314
"14","1996-09-06",2.547
"15","1996-09-22",2.6388
"16","1997-09-09",3.0582
"17","1998-08-11",3.7638
"18","1998-09-12",3.7242
"19","1998-09-28",3.3651
"20","1998-10-14",2.7333
"21","1998-11-15",2.1159
"22","2000-03-25",4.662
"23","2000-04-10",4.8717
"24","2000-11-28",2.6586
"25","2001-01-15",2.4147
"26","2001-03-04",4.2372
"27","2001-09-28",2.8287
"28","2002-06-11",4.5657
"29","2003-07-16",3.9735
"30","2003-09-18",4.1103
"31","2003-10-20",3.0951
"32","2004-01-24",3.0663
"33","2004-05-15",4.9248
"34","2004-06-16",4.9554
"35","2004-09-04",4.0788
"36","2004-10-22",3.5361
"37","2005-06-03",5.049
"38","2005-08-06",3.5046
"39","2005-08-22",3.8421
"40","2005-09-07",3.3264
"41","2005-09-23",3.2004
"42","2005-12-12",2.3841
"43","2006-07-08",3.9294
"44","2006-09-10",3.2319
"45","2007-02-01",2.9835
"46","2007-04-22",4.9455
"47","2007-06-25",4.23
"48","2007-09-13",2.9952
"49","2007-09-29",2.3427
"50","2007-10-15",1.6992
"51","2007-10-31",2.106
"52","2007-11-16",1.6245
"53","2008-06-11",4.7286
"54","2008-07-05",3.7701
"55","2008-07-29",3.2868
"56","2008-10-17",3.5631
"57","2008-12-04",2.5407
"58","2009-07-16",4.8888
"59","2009-08-01",4.4244
"60","2009-08-09",4.2597
"61","2009-08-25",4.1931
"62","2009-09-10",4.0248
"63","2009-10-12",4.0104
"64","2009-11-13",2.7684
"65","2009-11-21",4.6728
"66","2010-04-14",4.9698
"67","2010-07-27",4.3029
"68","2010-08-20",3.3759
"69","2010-10-07",3.4065
"70","2010-11-16",2.6172
"71","2010-12-02",2.3265
"72","2010-12-10",2.1969
"73","2011-04-25",5.0292
"74","2011-05-03",5.0256
"75","2011-06-28",3.3291
"76","2011-07-22",3.7764
"77","2011-08-23",2.5578
"78","2011-09-08",3.0501
"79","2011-10-02",2.7
"80","2012-04-19",5.031
"81","2012-08-25",4.0203
"82","2012-09-10",3.7188
"83","2012-12-31",2.448
"84","2013-05-16",5.0265
"85","2013-06-01",5.0328
"86","2013-06-09",4.9788
"87","2013-06-25",4.4757
"88","2013-07-03",4.3362
"89","2013-07-19",3.9618
"90","2013-07-27",3.834
"91","2013-08-04",3.4173
"92","2013-08-12",3.2994
"93","2013-09-13",3.4731
"94","2013-09-29",2.8683
"95","2013-10-07",2.2527
"96","2013-10-15",2.3391
"97","2013-11-08",2.97
"98","2013-11-16",2.8602
"99","2013-12-10",2.4381
"100","2013-12-26",2.3058
"101","2014-02-28",3.6396
"102","2014-04-01",4.9635
"103","2014-05-03",5.0265
"104","2014-06-28",4.6449
"105","2014-07-14",4.3191
"106","2014-07-22",3.9996
"107","2014-08-07",3.3993
"108","2014-08-31",3.6207
"109","2014-09-16",3.2256
"110","2014-10-10",3.7386
"111","2014-12-29",3.2679
"112","2015-04-04",5.0472
"113","2015-04-12",4.9014
"114","2015-05-22",5.0211
"115","2015-07-09",3.9294
"116","2015-07-17",3.8628
"117","2015-08-10",3.3219
"118","2015-08-18",2.9637
"119","2015-09-03",3.447
"120","2015-10-13",2.3868
"121","2015-10-29",3.1878
"122","2015-11-14",2.7702
"123","2015-11-30",2.844
"124","2016-01-01",2.2788
"125","2016-01-17",4.9482
"126","2016-02-18",3.3741
"127","2016-02-26",3.4515
"128","2016-03-05",3.6531
"129","2016-04-06",5.0481
"130","2016-04-30",5.0535
"131","2016-06-17",4.7547
"132","2016-06-25",4.4343
"133","2016-07-03",4.2147
"134","2016-08-04",3.429
"135","2016-09-13",3.2409
"136","2016-09-29",2.7
"137","2016-11-08",2.7702
"138","2017-01-19",4.086
"139","2017-02-20",3.6351
"140","2017-02-28",5.0481
"141","2017-04-09",5.049
"142","2017-04-17",5.0112
"143","2017-04-25",5.0067
"144","2017-05-03",4.9833
"145","2017-05-11",4.8942
"146","2017-05-27",4.6413
"147","2017-08-15",3.2859
"148","2017-08-23",3.5262
"149","2017-09-08",3.4515
"150","2017-09-24",4.4064
"151","2017-10-02",3.582
"152","2017-10-10",4.1652
"153","2017-10-26",3.1158
"154","2017-11-03",2.448
"155","2017-11-19",2.601
"156","2018-01-22",2.6811
"157","2018-02-07",3.0771
"158","2018-04-12",4.8348
"159","2018-05-30",5.0535
"160","2018-07-01",3.9843
"161","2018-07-17",3.4389
"162","2018-07-25",3.825
"163","2018-08-10",2.7405
"164","2018-09-03",2.313
"165","2018-09-11",1.4985
"166","2018-10-13",4.725
"167","2018-10-21",3.6729
"168","2018-11-06",3.024
"169","2018-12-24",2.4129
"170","2019-03-14",5.0526
"171","2019-05-01",5.0535
"172","2019-07-04",4.6809
"173","2019-07-12",4.1274
"174","2019-08-21",3.4776
"175","2019-08-29",3.015
"176","2019-09-06",3.0825
"177","2019-09-14",2.8179
"178","2019-09-22",2.1087
"179","2019-09-30",1.8882
"180","2019-10-16",3.4056
"181","2019-10-24",3.2976
"182","2019-12-27",2.2194
