Raw_TermEst,Smoothed,dates,time
412.885914182529,345.022164396154,1999-12-07,0
412.885914182529,344.847921999505,2000-01-08,32
367.002282653376,344.699212248691,2000-02-09,64
321.128350232957,344.576641455612,2000-02-25,80
321.128350232957,344.480970636689,2000-04-13,128
367.002282653376,344.414730290043,2000-08-19,256
367.002282653376,344.378411997092,2000-09-20,288
367.002282653376,344.373057388988,2000-10-22,320
321.128350232957,344.399621870667,2001-01-10,400
321.128350232957,344.459256122594,2001-03-15,464
321.128350232957,344.552729749531,2001-03-31,480
321.128350232957,344.67988739149,2001-05-02,512
321.128350232957,344.841666165083,2001-06-03,544
321.128350232957,345.03864135485,2001-06-19,560
321.128350232957,345.270738824177,2001-07-05,576
321.128350232957,345.537921131974,2001-09-07,640
321.128350232957,345.839394060733,2001-10-25,688
321.128350232957,346.175169734771,2001-12-12,736
321.128350232957,346.544310079675,2002-01-29,784
321.128350232957,346.946389407327,2002-02-14,800
321.128350232957,347.380316844556,2002-04-03,848
321.128350232957,347.844523937039,2002-06-06,912
321.128350232957,348.337430383973,2002-07-08,944
321.128350232957,348.857231167491,2002-07-24,960
367.002282653376,349.402081245367,2002-11-13,1072
367.002282653376,349.969586262519,2002-12-31,1120
367.002282653376,350.557182218595,2003-02-01,1152
367.002282653376,351.162400008981,2003-03-21,1200
367.002282653376,351.78278282525,2003-04-22,1232
367.002282653376,352.414871736235,2003-05-24,1264
367.002282653376,353.05605244044,2003-08-04,1336
367.002282653376,353.702960862737,2003-08-28,1360
367.002282653376,354.352551036273,2003-10-15,1408
367.002282653376,355.001621856573,2003-11-24,1448
367.002282653376,355.646619842923,2003-12-02,1456
367.002282653376,356.284965671342,2003-12-10,1464
367.002282653376,356.9129203047,2004-01-03,1488
367.002282653376,357.527992164157,2004-01-27,1512
367.002282653376,358.126640846699,2004-03-23,1568
367.002282653376,358.705924969154,2004-04-24,1600
367.002282653376,359.263373717332,2004-06-11,1648
412.885914182529,359.796485530276,2004-10-09,1768
412.885914182529,360.302823129129,2004-10-25,1784
367.002282653376,360.78052572583,2004-11-10,1800
367.002282653376,361.22735630215,2004-11-26,1816
367.002282653376,361.641253439969,2005-02-14,1896
367.002282653376,362.0215901411,2005-03-02,1912
367.002282653376,362.366112638186,2005-03-26,1936
367.002282653376,362.674408375995,2005-04-11,1952
367.002282653376,362.944945967266,2005-06-22,2024
367.002282653376,363.177275782802,2005-06-30,2032
367.002282653376,363.371351682074,2005-08-17,2080
367.002282653376,363.526598520207,2005-08-25,2088
367.002282653376,363.642942966862,2005-09-10,2104
367.002282653376,363.720517257833,2006-02-17,2264
367.002282653376,363.759565944938,2006-02-25,2272
367.002282653376,363.760513622289,2006-03-29,2304
367.002282653376,363.723892764988,2006-06-01,2368
367.002282653376,363.650407097124,2006-07-27,2424
367.002282653376,363.540882010334,2006-08-04,2432
367.002282653376,363.396172488432,2006-09-13,2472
367.002282653376,363.216531461706,2006-10-31,2520
367.002282653376,363.00388424037,2006-11-09,2529
367.002282653376,362.758955062172,2007-01-03,2584
367.002282653376,362.482921048845,2007-02-04,2616
367.002282653376,362.177264996119,2007-02-13,2625
367.002282653376,361.842828914404,2007-04-01,2672
367.002282653376,361.480358056241,2007-07-06,2768
367.002282653376,361.091347757969,2007-08-07,2800
321.128350232957,360.676160693442,2007-08-23,2816
321.128350232957,360.237583023275,2007-09-08,2832
321.128350232957,359.77542587261,2007-09-16,2840
367.002282653376,359.291062476928,2008-03-18,3024
367.002282653376,358.78549885588,2008-04-19,3056
367.002282653376,358.259183953765,2008-05-05,3072
367.002282653376,357.713392677518,2008-08-09,3168
367.002282653376,357.149989688923,2008-09-10,3200
367.002282653376,356.568794769123,2008-10-12,3232
321.128350232957,355.971637604687,2008-11-13,3264
321.128350232957,355.358839394019,2008-12-23,3304
321.128350232957,354.730731823909,2009-02-01,3344
321.128350232957,354.089362019777,2009-02-17,3360
321.128350232957,353.434269180362,2009-03-21,3392
367.002282653376,352.767315789556,2009-09-13,3568
367.002282653376,352.090199841441,2009-10-31,3616
367.002282653376,351.403379340778,2010-01-27,3704
367.002282653376,350.707976976077,2010-02-04,3712
367.002282653376,350.005246059981,2010-04-09,3776
321.128350232957,349.296172307885,2010-08-31,3920
321.128350232957,348.582608265846,2010-11-27,4008
321.128350232957,347.86580195606,2011-02-15,4088
321.128350232957,347.147193379203,2011-03-11,4112
321.128350232957,346.429127759304,2011-03-27,4128
321.128350232957,345.712584822332,2011-04-12,4144
321.128350232957,344.999024358971,2011-04-28,4160
321.128350232957,344.291595411294,2011-05-30,4192
321.128350232957,343.591422048443,2011-06-15,4208
321.128350232957,342.899155168484,2011-07-01,4224
321.128350232957,342.217562882729,2011-07-17,4240
321.128350232957,341.548084773707,2011-08-02,4256
321.128350232957,340.892066211928,2011-09-03,4288
321.128350232957,340.25129048099,2011-10-21,4336
321.128350232957,339.627006138439,2011-11-06,4352
321.128350232957,339.020578086995,2011-12-24,4400
321.128350232957,338.43242857702,2012-03-29,4496
321.128350232957,337.863987554146,2012-04-14,4512
