dates,areas,areas_smoothed,time
1984-04-07,1.411848625,1.4108985050577978,0
1984-05-18,1.54961725,1.4159494913552948,41
1984-06-03,0.965441875,1.421138634445112,57
1985-06-29,1.456739625,1.4264516838184256,448
1986-03-14,1.327805875,1.4318725074315624,706
1986-06-18,1.615502,1.4373831390207068,802
1986-06-25,1.60227575,1.4429732534873256,809
1986-07-20,1.4966505,1.4486049256199334,834
1987-07-14,1.607824625,1.4542629183069298,1193
1988-06-07,1.558077625,1.459923187110765,1522
1988-07-07,1.555708125,1.4655606721227057,1552
1988-08-10,1.57026975,1.4711495954550735,1586
1989-06-19,1.504163375,1.4766638054180434,1899
1989-07-10,1.52578025,1.4820771649296327,1920
1989-08-22,1.5365275,1.4873687423323751,1963
1990-06-11,1.508431125,1.4925055312447173,2256
1990-07-15,1.619582,1.4974678818504263,2290
1991-08-01,1.572977,1.5022343022084963,2672
1991-08-03,1.61427175,1.5067856374857453,2674
1992-06-02,1.5850255,1.5110981461085726,2978
1992-06-11,1.47041425,1.5151757034407867,2987
1993-08-08,1.59052825,1.5189905097564296,3410
1994-05-05,1.3867395,1.5225455437944773,3680
1994-06-17,1.452548375,1.525835633845731,3723
1994-07-10,1.605002625,1.5288614894047987,3746
1994-08-11,1.570255625,1.5316272326203186,3778
1994-09-03,1.43583325,1.5341401071669822,3801
1995-07-29,1.599082375,1.536412398179522,4130
1995-09-06,1.44233875,1.5384485577348188,4169
1996-09-17,1.42693075,1.5402705289570924,4546
1996-10-01,1.397862,1.5418905071887603,4560
1997-06-14,1.643767,1.5433239494611593,4816
1997-09-04,1.319742875,1.5445862239109114,4898
1998-08-29,1.552634125,1.5456920572211155,5257
1998-09-05,1.390945,1.5466550360117948,5264
1999-09-09,1.432470375,1.547476770522066,5633
1999-09-18,1.369065875,1.5481842664130256,5642
1999-09-25,1.356267,1.5487776179429966,5649
1999-10-27,1.34601625,1.5492620190716042,5681
2000-04-29,1.211144,1.549640177841076,5866
2000-07-25,1.626267,1.54991619429006,5953
2000-08-03,1.2172795,1.5500737021442355,5962
2000-08-28,1.732951625,1.550124574044161,5987
2000-09-27,1.258198875,1.550057103397905,6017
2000-11-05,1.918117375,1.5498641307166716,6056
2001-06-12,1.444588,1.5495377786488473,6275
2001-06-26,1.612787875,1.5490700651862725,6289
2002-04-19,1.5252795,1.5484535601410945,6586
2002-05-28,1.613402375,1.5476761954856535,6625
2002-06-04,1.569537375,1.5467432522097144,6632
2002-07-15,1.520719125,1.5456483637654146,6673
2002-07-22,1.6008255,1.5443954499928196,6680
2002-08-09,1.582049875,1.54299590718311,6698
2002-08-16,1.448148,1.5414272955642827,6705
2002-08-23,1.53699375,1.5397198008859245,6712
2002-09-08,1.4353245,1.537868485056743,6728
2002-09-10,1.385097125,1.5359093024461596,6730
2003-03-05,1.159038625,1.5338587830160924,6906
2003-07-25,1.382476375,1.5317280910104127,7048
2003-08-10,1.607888625,1.5295249473763313,7064
2004-05-08,1.36828225,1.5272802871409248,7336
2004-06-01,1.23901925,1.5250027311666452,7360
2004-06-02,1.70077125,1.5226972955498608,7361
2004-06-10,1.607284,1.5204067880234595,7369
2004-07-05,1.60776075,1.5181104505788336,7394
2004-07-29,1.4811635,1.515815515121423,7418
2004-09-30,1.198754125,1.5135280455971958,7481
2004-10-01,1.1411015,1.511258961445662,7482
2005-05-21,1.44484125,1.50900049827846,7714
2005-06-29,1.5822865,1.5067503706456329,7753
2005-06-30,1.544493,1.5045040947041968,7754
2005-07-06,1.579972375,1.5022560052464053,7760
2005-07-08,1.45602025,1.5000004251068972,7762
2006-05-06,1.4506205,1.4977328467378288,8064
2006-05-07,1.342810875,1.4954477794993453,8065
2006-07-09,1.499983,1.493131452222256,8128
2006-07-27,1.562808125,1.4907865150675275,8146
2006-08-02,1.463414,1.48840872422416,8152
2006-08-10,1.0460661875,1.485988011815319,8160
2006-08-12,1.524045875,1.4835395644913494,8162
2006-08-19,1.47355925,1.4810685936492887,8169
2006-08-20,1.4194615,1.4785854906109432,8170
2006-08-27,1.3581905,1.476099748095803,8177
2006-09-27,1.34729625,1.4736294397719338,8208
2006-10-05,1.242859625,1.4711960809485647,8216
2006-10-13,1.147357375,1.4688246429961094,8224
2007-05-25,1.376554,1.4665374027557092,8448
2007-06-02,1.649925375,1.4643821418061003,8456
2007-06-03,1.3950205,1.4623734539466884,8457
2007-06-04,1.300903,1.4605260880300244,8458
2007-07-04,1.567772,1.4588997317015886,8488
2007-07-05,1.44975425,1.4575055969912827,8489
2007-07-23,1.204141375,1.456364482605004,8507
2007-08-08,1.514451375,1.455486990925043,8523
2007-08-13,1.61478125,1.454904472355389,8528
2007-09-07,1.22257175,1.4545981542292807,8553
2007-10-02,1.062117,1.4545736237140743,8578
2008-06-04,1.3076815,1.454823639556897,8824
2008-07-08,1.5609665,1.4553357094411399,8858
2008-08-02,1.6114685,1.4560926747466083,8883
2008-09-10,1.242708125,1.4570647976828404,8922
2009-05-17,1.508119875,1.4582485591021617,9171
2009-06-23,1.719226625,1.4595893049169368,9208
2009-07-03,1.60754975,1.4610645330330634,9218
2009-07-19,1.568515375,1.4626612963734735,9234
2009-07-20,1.512691625,1.4643357838365672,9235
2010-08-16,1.473958125,1.4660538126938851,9627
2010-09-07,1.31749975,1.467784437288174,9649
2010-09-08,1.372371875,1.4694952727084984,9650
2010-09-09,1.355733,1.4711488727689885,9651
2010-09-30,1.118840875,1.4727275804465345,9672
2010-10-01,1.247378625,1.4741965854396266,9673
2010-10-02,1.2838985,1.475529221113352,9674
2011-04-13,1.264804625,1.4767009963426623,9867
2011-05-13,1.459324,1.4776855439962793,9897
2011-06-14,1.595952625,1.4784753756995515,9929
2011-06-15,1.49284475,1.4790394882180073,9930
2011-07-02,1.460642,1.479374337713265,9947
2011-08-03,1.807266125,1.479466695419317,9979
2011-09-18,1.437987125,1.479310729438395,10025
2011-09-19,1.34455325,1.4788996269216788,10026
2012-05-23,1.495799375,1.4782415686838832,10273
2012-07-10,1.333220125,1.4773324369663807,10321
2012-08-04,1.34460775,1.4761782002686663,10346
2012-08-20,1.597465875,1.4747896431601684,10362
