Raw_TermEst,Smoothed,dates,time
811.232238073957,821.969349762264,1993-09-30,0
824.492417394805,827.509657402894,1994-09-01,336
824.492417394805,836.046787143655,1995-05-15,592
824.492417394805,846.302983960398,1996-09-06,1072
880.266926472478,855.775681568068,1997-09-09,1440
925.488584354711,864.389171364308,2006-09-10,4728
973.932981421251,901.749740801326,2007-06-25,5016
973.932981421251,944.09138573435,2007-10-15,5128
925.488584354711,950.203441065294,2010-07-27,6144
957.502787456949,954.142876833411,2011-08-23,6536
957.502787456949,956.12654584511,2011-09-08,6552
957.502787456949,953.794490047729,2013-06-25,7208
925.488584354711,948.930149263834,2014-04-01,7488
910.034294999273,944.014494897782,2014-10-10,7680
851.742962323297,931.049486368148,2016-03-05,8192
811.232238073957,901.563870143284,2017-04-09,8592
811.232238073957,860.544413949826,2017-04-25,8608
784.96055243325,826.65986740803,2018-04-12,8960
784.96055243325,807.544350291656,2018-09-03,9104
