Raw_TermEst,Smoothed,dates,time
1377.92111988059,1367.577797041,1988-10-27,0
1393.23184483161,1366.73821648734,1988-11-19,23
1332.36536538242,1365.85048444861,1989-12-01,400
1347.4877152775,1364.91535876758,1993-06-19,1696
1347.4877152775,1363.93154904025,1993-07-05,1712
1347.4877152775,1362.91046455754,1993-07-12,1719
1347.4877152775,1361.85608822814,1993-07-21,1728
1347.4877152775,1360.7779756659,1993-07-28,1735
1347.4877152775,1359.68806126297,1993-08-06,1744
1347.4877152775,1358.59695421656,1993-09-30,1799
1362.67238386314,1357.52553923964,1993-12-12,1872
1347.4877152775,1356.48450370815,1994-05-28,2039
1347.4877152775,1355.49258743746,1994-06-29,2071
1347.4877152775,1354.56101921346,1994-07-08,2080
1347.4877152775,1353.70020591553,1994-07-31,2103
1347.4877152775,1352.91736171485,1994-09-01,2135
1347.4877152775,1352.21628851169,1995-02-24,2311
1347.4877152775,1351.59509697273,1995-05-15,2391
1347.4877152775,1351.05251688727,1996-09-06,2871
1347.4877152775,1350.58651654813,1996-09-22,2887
1317.3010073344,1350.18995655771,1997-07-07,3175
1332.36536538242,1349.85388186866,1997-09-09,3239
1332.36536538242,1349.57196925581,1998-07-19,3552
1332.36536538242,1349.33577569051,1998-08-11,3575
1332.36536538242,1349.13777620216,1998-09-12,3607
1332.36536538242,1348.97107754995,1998-09-28,3623
1332.36536538242,1348.82928954606,1998-10-14,3639
1332.36536538242,1348.7068479049,1998-11-15,3671
1332.36536538242,1348.59869774307,1999-02-28,3776
1347.4877152775,1348.5004454419,1999-08-15,3944
1347.4877152775,1348.40799885264,1999-09-07,3967
1347.4877152775,1348.31794103406,1999-11-19,4040
1347.4877152775,1348.22712608593,1999-12-04,4055
1347.4877152775,1348.13259737739,1999-12-13,4064
1347.4877152775,1348.03168103089,1999-12-29,4080
1347.4877152775,1347.92179560706,2000-01-05,4087
1347.4877152775,1347.80048357436,2000-02-14,4127
1347.4877152775,1347.66532473061,2000-03-25,4167
1347.4877152775,1347.51402232145,2000-05-20,4223
1347.4877152775,1347.34652827899,2000-05-21,4224
1347.4877152775,1347.15706155826,2000-05-28,4231
1347.4877152775,1346.94535832209,2000-07-16,4280
1347.4877152775,1346.70982188519,2000-08-17,4312
1347.4877152775,1346.44928054762,2000-08-24,4319
1347.4877152775,1346.16314708065,2000-09-02,4328
1347.4877152775,1345.85171064245,2000-10-27,4383
1347.4877152775,1345.51596088726,2000-11-28,4415
1347.4877152775,1345.15825718747,2001-01-15,4463
1347.4877152775,1344.78219159698,2001-03-04,4511
1347.4877152775,1344.39273902482,2001-05-23,4591
1347.4877152775,1343.99624520753,2001-05-31,4599
1347.4877152775,1343.6002908598,2001-07-03,4632
1347.4877152775,1343.21273270528,2001-07-26,4655
1347.4877152775,1342.84339767424,2001-08-20,4680
1362.67238386314,1342.50240764014,2001-09-05,4696
1377.92111988059,1342.19730899845,2001-09-28,4719
1393.23184483161,1341.93573599759,2001-10-07,4728
1347.4877152775,1341.72382765269,2002-08-07,5032
1347.4877152775,1341.56591471882,2002-08-23,5048
1347.4877152775,1341.46437566571,2002-08-30,5055
1332.36536538242,1341.41979958708,2008-06-12,7168
1332.36536538242,1341.430578379,2008-06-19,7175
1332.36536538242,1341.49413379648,2008-07-05,7191
1332.36536538242,1341.60656906163,2008-10-02,7280
1317.3010073344,1341.76321428803,2009-03-11,7440
