dates,areas,areas_smoothed,time
1999-08-06,6.3585,9.23679092933452,0
2000-09-02,7.1541,9.24720791478586,393
2001-04-14,14.9013,9.25240343318673,617
2001-05-16,14.8959,9.25228547417875,649
2001-08-20,5.5899,9.24664105192802,745
2001-11-08,10.7586,9.23531058850583,825
2002-07-13,11.7963,9.21851788801887,1072
2002-08-07,8.7525,9.19676140780921,1097
2002-08-23,7.2828,9.16979501888381,1113
2003-07-25,5.4711,9.13778216921067,1449
2003-08-01,6.7725,9.10092868796638,1456
2003-08-17,5.4729,9.05948508340444,1472
2003-10-20,10.3518,9.01354847043435,1536
2003-12-16,4.8483,8.96351634254472,1593
2004-01-24,8.1081,8.90983404212125,1632
2004-05-15,12.5802,8.85313236078192,1744
2004-06-16,11.0376,8.79352360304446,1776
2004-08-28,3.9357,8.73160801553801,1849
2004-09-13,3.3633,8.66775475139462,1865
2004-09-29,5.6403,8.60250891903553,1881
2004-10-22,9.0387,8.53623190654556,1904
2004-10-31,7.596,8.46917737941277,1913
2005-05-11,9.387,8.40201162612556,2105
2005-06-03,12.2184,8.33503412628539,2128
2005-07-05,8.0352,8.26860827916087,2160
2005-07-21,6.4953,8.20305090802117,2176
2005-08-06,6.1605,8.13864305028567,2192
2005-08-15,3.663,8.07562385460492,2201
2005-09-16,5.0715,8.01423722026522,2233
2005-09-23,6.1749,7.95439488554252,2240
2006-04-19,13.1229,7.89644818661614,2448
2006-04-28,8.3898,7.84047384224287,2457
2006-05-14,8.1459,7.78644024623444,2473
2006-07-24,6.6411,7.73434317652755,2544
2006-08-02,3.8322,7.68414757599025,2553
2006-08-09,5.985,7.63580803535732,2560
2006-08-25,5.0067,7.58921392266369,2576
2006-09-26,8.7795,7.54427657701859,2608
2007-07-04,5.7654,7.50088263844614,2889
2007-08-05,5.1075,7.45891067989025,2921
2007-08-21,3.6981,7.41823563508346,2937
2007-09-06,4.6863,7.37873300115615,2953
2007-09-13,4.4874,7.34028276364521,2960
2007-10-15,9.6615,7.3027730011281,2992
2007-10-31,8.8308,7.26607547801168,3008
2008-06-04,6.7653,7.23010902378238,3225
2008-06-20,5.4378,7.19485494746367,3241
2008-07-29,5.1768,7.16022803600216,3280
2008-08-23,3.1617,7.12616362127927,3305
2008-09-08,4.3848,7.09270600714208,3321
2008-09-15,4.9896,7.0599251258916,3328
2008-12-13,5.499,7.02787982075116,3417
2009-05-29,13.2417,6.99635244722209,3584
2009-06-14,12.1464,6.96554957960754,3600
2009-07-25,5.8428,6.9355890269938,3641
2009-08-17,6.4989,6.90668523909195,3664
2009-10-20,8.2008,6.87880164436851,3728
2010-06-10,8.8128,6.8523133389534,3961
2010-07-03,9.9738,6.82725371531077,3984
2010-07-28,5.3379,6.80356677847874,4009
2010-08-13,4.5333,6.78147098519688,4025
2010-08-29,4.2939,6.76110419074517,4041
2010-09-05,5.0985,6.7428219360974,4048
2010-09-30,6.3216,6.72652033035288,4073
2011-04-26,8.6418,6.71246168402885,4281
2012-07-01,5.076,6.70064722889041,4713
2012-08-18,3.7908,6.69118698811501,4761
2013-01-09,4.3578,6.68395947264537,4905
2013-04-30,15.2757,6.67921734134223,5016
2013-05-16,13.9527,6.67687102113223,5032
2013-06-01,14.7096,6.67692839412369,5048
2013-07-28,2.8386,6.67940856188532,5105
2013-08-05,4.6107,6.68413811175982,5113
2013-08-21,3.3318,6.69134678209984,5129
2013-10-07,5.3514,6.7010579707475,5176
2013-10-08,3.0546,6.71324868949731,5177
2013-10-16,6.5574,6.72745646025134,5185
2013-11-08,9.0162,6.74373215118585,5208
2013-12-10,8.5383,6.76235671698695,5240
2014-01-12,4.518,6.78314462340481,5273
2014-02-05,10.6596,6.80615697114866,5297
2014-02-12,10.8459,6.83152414661918,5304
2014-02-28,12.1356,6.85936862493206,5320
2014-04-01,13.0572,6.8896293510936,5352
2014-05-03,15.417,6.92218854966788,5384
2014-05-04,9.0819,6.95713822077267,5385
2014-07-23,4.7214,6.99480961104837,5465
2014-08-07,6.1551,7.0350449794541,5480
2014-08-08,3.6108,7.07791333215555,5481
2014-08-23,3.6342,7.12342792610739,5496
2014-09-01,0.648,7.17168393500557,5505
2014-09-08,6.5502,7.22216604641508,5512
2014-10-10,13.14,7.27482381892845,5544
2014-12-29,8.6382,7.32951886100387,5624
2015-01-30,13.1553,7.38616875359309,5656
2015-03-19,13.8969,7.44420271689994,5704
2015-04-29,15.4737,7.50341967178514,5745
2015-05-15,2.7396,7.56363833275974,5761
2015-07-09,9.4914,7.62434604632016,5816
2015-09-11,7.4826,7.68541370674433,5880
2015-11-30,8.5356,7.74628441364304,5960
2015-12-01,5.5512,7.8069817932573,5961
2015-12-16,8.3952,7.86722713231139,5976
2016-02-18,10.9242,7.92678916613539,6040
2016-02-27,6.1947,7.98555284693903,6049
2016-03-05,12.2112,8.04342706215656,6056
2016-04-15,13.5351,8.10043073399215,6097
2016-05-01,16.2513,8.15647898822008,6113
2016-05-24,15.8616,8.21142160389419,6136
2016-05-25,9.1413,8.26534051621567,6137
2016-06-09,13.8708,8.31822849618131,6152
2016-06-10,8.2125,8.37008059499749,6153
2016-06-25,14.5638,8.42086193038274,6168
2016-07-11,10.2186,8.47062362120608,6184
2016-07-12,6.0282,8.51936594884204,6185
2016-07-27,8.478,8.5669424930079,6200
2016-08-12,8.2665,8.61334795047079,6216
2016-08-28,6.6465,8.65855124221351,6232
2016-08-29,3.5712,8.70248627626424,6233
2016-10-15,12.6018,8.74507703190686,6280
2016-11-09,4.5189,8.78623924682886,6305
2017-03-08,13.4721,8.82590116558975,6424
2017-04-09,15.183,8.86397907901033,6456
2017-04-25,15.5439,8.90033017366557,6472
2017-04-26,9.3474,8.93482854793689,6473
2017-05-27,14.3784,8.9674506683328,6504
2017-06-12,13.086,8.99811307985675,6520
2017-07-15,6.3522,9.02674820153538,6553
2017-07-30,7.9839,9.05330254612587,6568
2017-07-31,4.4604,9.0777673578329,6569
2017-08-31,5.5116,9.1001104979074,6600
2017-09-01,3.3669,9.12029536918275,6601
2017-09-16,5.8122,9.13831510929493,6616
2017-09-17,3.0141,9.15427868231811,6617
