Raw_TermEst,Smoothed,dates,time
3072.35855967481,3014.17863975806,1993-09-30,0
3002.82713214266,3013.03036624532,1994-05-28,240
2967.92211357224,3012.06004177044,1994-09-01,336
3002.82713214266,3011.27592679523,1995-05-15,592
3002.82713214266,3010.66291165763,1996-01-03,825
3037.92212813382,3010.20423651849,1996-09-06,1072
3037.92212813382,3009.8779560628,1996-09-22,1088
2933.63944530163,3009.63819019878,1997-09-09,1440
3072.35855967481,3009.42567938686,1998-09-12,1808
2967.92211357224,3009.15824200217,2000-08-24,2520
3002.82713214266,3008.72491839314,2000-09-02,2529
2967.92211357224,3007.9847224437,2001-07-26,2856
2967.92211357224,3006.77834756403,2002-06-04,3169
2967.92211357224,3004.96123226275,2002-06-11,3176
2967.92211357224,3002.45673175619,2002-08-23,3249
2967.92211357224,2999.30797355429,2002-08-30,3256
2933.63944530163,2995.69234685025,2008-07-05,5392
2899.69945101046,2991.8779216934,2010-07-27,6144
2830.22127081613,2988.14252907226,2011-04-25,6416
2865.40259191031,2984.70226411184,2011-08-24,6537
2865.40259191031,2981.68081860472,2011-10-02,6576
2830.22127081613,2979.11060885712,2013-05-16,7168
2865.40259191031,2976.98592786676,2013-06-01,7184
2865.40259191031,2975.24725924667,2013-07-19,7232
2865.40259191031,2973.83547356916,2013-09-30,7305
2865.40259191031,2972.68489845565,2013-10-07,7312
2865.40259191031,2971.73293874909,2013-11-17,7353
2830.22127081613,2970.90841383496,2014-05-28,7545
2830.22127081613,2970.1491400066,2014-06-13,7561
2865.40259191031,2969.31111983309,2014-07-22,7600
2865.40259191031,2968.23934878432,2014-08-07,7616
2830.22127081613,2966.64317205882,2014-11-11,7712
2830.22127081613,2964.03050090677,2014-12-13,7744
2830.22127081613,2959.73968000984,2015-01-14,7776
2830.22127081613,2953.22562931798,2015-04-13,7865
2830.22127081613,2944.45785892246,2015-04-29,7881
2830.22127081613,2934.6810149783,2015-05-15,7897
2865.40259191031,2925.32152806592,2015-05-22,7904
2830.22127081613,2917.00425902562,2015-09-04,8009
2830.22127081613,2909.68975419089,2015-10-13,8048
2830.22127081613,2902.99011090284,2015-10-29,8064
2830.22127081613,2896.70217750079,2015-11-30,8096
2830.22127081613,2890.64592516237,2016-02-27,8185
2830.22127081613,2884.83891142012,2016-03-05,8192
2830.22127081613,2879.38697573785,2016-05-01,8249
2830.22127081613,2874.34810983403,2016-06-02,8281
2865.40259191031,2869.80356348109,2016-06-18,8297
2865.40259191031,2865.77977251138,2016-06-25,8304
2830.22127081613,2862.24217361185,2016-09-29,8400
2830.22127081613,2859.14191994333,2017-01-12,8505
2794.24036426997,2856.42790195949,2017-05-20,8633
2830.22127081613,2854.02639653966,2017-08-15,8720
2794.24036426997,2851.87086850507,2017-11-19,8816
2830.22127081613,2849.91814596411,2018-04-05,8953
2830.22127081613,2848.11354868603,2018-04-12,8960
2830.22127081613,2846.42251418668,2018-04-28,8976
2830.22127081613,2844.81625849179,2018-05-30,9008
2830.22127081613,2843.2721481225,2018-07-17,9056
2830.22127081613,2841.77267907487,2018-08-02,9072
2830.22127081613,2840.30527999918,2018-08-18,9088
2830.22127081613,2838.86303721709,2018-08-27,9097
2830.22127081613,2837.44615586273,2018-09-03,9104
2830.22127081613,2836.06268395968,2018-09-12,9113
2830.22127081613,2834.73358385582,2018-10-21,9152
2794.24036426997,2833.48452270887,2019-03-07,9289
2830.22127081613,2832.34837445287,2019-05-01,9344
2794.24036426997,2831.35781411098,2019-08-14,9449
2794.24036426997,2830.53924845623,2019-08-21,9456
2794.24036426997,2829.90759035049,2019-08-30,9465
2794.24036426997,2829.46692813379,2019-09-06,9472
2830.22127081613,2829.20741111128,2019-09-22,9488
2865.40259191031,2829.11124560252,2019-10-01,9497
2899.69945101046,2829.15878327885,2019-11-09,9536
2899.69945101046,2829.32608179005,2019-12-04,9561
