Raw_TermEst,Smoothed,dates,time
1864.18725173784,1852.60136882696,1989-01-10,0
1864.18725173784,1852.42764207456,1989-08-22,224
1841.5443299911,1852.25253308539,1989-12-12,336
1864.18725173784,1852.07838394935,1989-12-28,352
1841.5443299911,1851.90428406811,1990-06-06,512
1818.89421844514,1851.73050983439,1990-12-31,720
1818.89421844514,1851.55728900385,1991-01-07,727
1841.5443299911,1851.3855003998,1991-01-23,743
1864.18725173784,1851.21573999628,1991-02-01,752
1886.84436000757,1851.0483850709,1991-02-17,768
1886.84436000757,1850.88409749382,1991-05-08,848
1864.18725173784,1850.72359618029,1991-09-20,983
1864.18725173784,1850.56476998649,1991-11-16,1040
1864.18725173784,1850.41291705038,1992-02-04,1120
1841.5443299911,1850.26772156551,1992-07-13,1280
1818.89421844514,1850.12947349987,1992-10-24,1383
1818.89421844514,1849.99904179994,1992-11-18,1408
1818.89421844514,1849.87729355325,1992-11-25,1415
1818.89421844514,1849.76507902945,1992-12-20,1440
1818.89421844514,1849.66321570256,1993-01-05,1456
1841.5443299911,1849.572471585,1993-01-12,1463
1864.18725173784,1849.49354824513,1993-01-21,1472
1864.18725173784,1849.42706390751,1993-02-22,1504
1841.5443299911,1849.37353704714,1993-06-14,1616
1841.5443299911,1849.3333708855,1993-08-17,1680
1841.5443299911,1849.30683917598,1993-10-20,1744
1841.5443299911,1849.29407363138,1993-11-28,1783
1841.5443299911,1849.29505329812,1993-12-14,1799
1841.5443299911,1849.30959612379,1993-12-30,1815
1841.5443299911,1849.33735289963,1994-01-15,1831
1841.5443299911,1849.37649939333,1994-01-31,1847
1841.5443299911,1849.42796130084,1994-02-25,1872
1864.18725173784,1849.49102165257,1994-03-13,1888
1864.18725173784,1849.56279566681,1994-06-08,1975
1864.18725173784,1849.64368941636,1994-07-10,2007
1864.18725173784,1849.73178574509,1994-07-26,2023
1864.18725173784,1849.82615115302,1994-09-21,2080
1864.18725173784,1849.92376471961,1994-10-14,2103
1864.18725173784,1850.02357005409,1994-10-30,2119
1864.18725173784,1850.12199968802,1994-11-08,2128
1864.18725173784,1850.21982479109,1994-11-15,2135
1886.84436000757,1850.31402465519,1994-12-10,2160
1886.84436000757,1850.40195904642,1994-12-17,2167
1886.84436000757,1850.47941265098,1994-12-26,2176
1886.84436000757,1850.54740835515,1995-01-11,2192
1886.84436000757,1850.60085950504,1995-04-08,2279
1841.5443299911,1850.6393715807,1995-11-27,2512
1841.5443299911,1850.65889544075,1995-12-29,2544
1841.5443299911,1850.65749975917,1996-01-30,2576
1841.5443299911,1850.6326537749,1996-03-02,2608
1818.89421844514,1850.58269346388,1996-07-08,2736
1818.89421844514,1850.50316966134,1996-07-31,2759
1841.5443299911,1850.39354427157,1996-08-09,2768
1841.5443299911,1850.25081624111,1996-08-25,2784
1841.5443299911,1850.07341294704,1996-09-10,2800
1841.5443299911,1849.85848433856,1996-11-13,2864
1841.5443299911,1849.60284172282,1996-11-29,2880
1841.5443299911,1849.30409601502,1997-01-23,2935
1841.5443299911,1848.96180909599,1997-02-01,2944
1841.5443299911,1848.57328590894,1997-02-17,2960
1796.19956421815,1848.13603175615,1997-09-04,3159
1796.19956421815,1847.6480566134,1997-09-13,3168
1818.89421844514,1847.10744818265,1997-09-29,3184
1818.89421844514,1846.51224384413,1997-10-06,3191
1796.19956421815,1845.86011875825,1999-08-17,3871
1796.19956421815,1845.14901369739,1999-08-26,3880
1796.19956421815,1844.37689062857,1999-09-18,3903
1796.19956421815,1843.54174892226,1999-12-07,3983
1796.19956421815,1842.64165076404,1999-12-16,3992
1796.19956421815,1841.67457023262,2000-01-17,4024
1796.19956421815,1840.63922217827,2000-02-25,4063
1773.42835506968,1839.53390471411,2000-05-24,4152
1773.42835506968,1838.35742788964,2000-07-27,4216
1773.42835506968,1837.10898236308,2000-08-19,4239
1773.42835506968,1835.78794673645,2000-08-28,4248
1773.42835506968,1834.39524418393,2000-09-04,4255
1796.19956421815,1832.93152745899,2000-10-06,4287
1773.42835506968,1831.39854612719,2001-01-03,4376
1796.19956421815,1829.79772988409,2001-01-19,4392
1796.19956421815,1828.13581526958,2001-01-26,4399
1796.19956421815,1826.41534732585,2001-03-24,4456
1796.19956421815,1824.64445564216,2001-03-31,4463
1773.42835506968,1822.82950172432,2001-07-14,4568
1773.42835506968,1820.97942278084,2001-08-22,4607
1773.42835506968,1819.10224231092,2001-09-16,4632
1773.42835506968,1817.21076169766,2001-12-05,4712
1773.42835506968,1815.31497163181,2001-12-12,4719
1773.42835506968,1813.42585589708,2002-01-22,4760
1773.42835506968,1811.55453678944,2002-02-23,4792
1750.5780694706,1809.71483389908,2002-06-22,4911
1750.5780694706,1807.914951474,2002-07-24,4943
1750.5780694706,1806.16680833938,2002-08-18,4968
1773.42835506968,1804.47824007147,2002-08-25,4975
1796.19956421815,1802.85471313216,2002-10-28,5039
1818.89421844514,1801.3028761252,2002-11-13,5055
1818.89421844514,1799.82745962521,2002-12-08,5080
1818.89421844514,1798.43718424432,2003-01-09,5112
1818.89421844514,1797.13013334342,2003-01-25,5128
1818.89421844514,1795.9079662407,2003-02-01,5135
1727.68195530922,1794.76928674692,2004-11-18,5791
1750.5780694706,1793.71251868356,2005-01-21,5855
1727.68195530922,1792.73471157867,2005-06-30,6015
1704.79075137591,1791.83261537234,2006-06-17,6367
1704.79075137591,1791.00136843343,2006-08-05,6416
1704.79075137591,1790.23545842441,2006-08-12,6423
1704.79075137591,1789.53592024013,2006-08-21,6432
1704.79075137591,1788.89564870506,2006-09-06,6448
1704.79075137591,1788.30912836228,2006-09-13,6455
1727.68195530922,1787.77195894224,2006-09-22,6464
1750.5780694706,1787.27773785279,2006-10-08,6480
1750.5780694706,1786.82270360004,2006-10-31,6503
1704.79075137591,1786.39715669951,2007-06-21,6736
1704.79075137591,1785.99797581814,2007-07-30,6775
1704.79075137591,1785.62557695029,2007-08-08,6784
1704.79075137591,1785.26843005044,2007-08-24,6800
1704.79075137591,1784.92603044442,2007-09-09,6816
1704.79075137591,1784.58919714344,2007-09-16,6823
1704.79075137591,1784.25687004009,2007-09-25,6832
1636.34216941877,1783.91559865417,2008-06-14,7095
1636.34216941877,1783.56737256283,2008-06-30,7111
1636.34216941877,1783.20067282938,2008-07-09,7120
1636.34216941877,1782.81220371787,2008-08-01,7143
1636.34216941877,1782.39069057075,2008-08-09,7151
1636.34216941877,1781.92157834814,2008-10-29,7232
1636.34216941877,1781.40914998833,2009-01-17,7312
1636.34216941877,1780.84450271127,2009-03-05,7359
1636.34216941877,1780.20183565894,2009-03-06,7360
1613.53542890823,1779.49215613987,2009-06-10,7456
1590.71361589247,1778.69439912939,2009-09-29,7567
1590.71361589247,1777.79810668497,2009-09-30,7568
1590.71361589247,1776.79175435792,2009-10-07,7575
1590.71361589247,1775.66346203303,2009-10-16,7584
1590.71361589247,1774.39583705847,2009-11-17,7616
1590.71361589247,1772.98605058412,2009-11-24,7623
1590.71361589247,1771.41452579116,2009-12-03,7632
1590.71361589247,1769.68513461598,2009-12-10,7639
1590.71361589247,1767.79033155393,2010-01-19,7679
1590.71361589247,1765.71681482978,2010-01-20,7680
1590.71361589247,1763.46543383832,2010-01-27,7687
1590.71361589247,1761.03436126356,2010-02-05,7696
1590.71361589247,1758.43472970411,2010-02-12,7703
1590.71361589247,1755.6595028081,2010-04-01,7751
1590.71361589247,1752.7362851317,2010-04-10,7760
1590.71361589247,1749.66685819277,2010-06-04,7815
1590.71361589247,1746.47603442554,2010-07-15,7856
1590.71361589247,1743.17797001029,2010-07-30,7871
1590.71361589247,1739.79287766522,2010-09-08,7911
1590.71361589247,1736.34161697021,2010-09-24,7927
1590.71361589247,1732.84294533086,2010-10-03,7936
1590.71361589247,1729.3182908608,2010-10-26,7959
1590.71361589247,1725.78875184433,2010-11-11,7975
1590.71361589247,1722.26718550421,2010-11-27,7991
1590.71361589247,1718.76688450897,2010-12-06,8000
1590.71361589247,1715.29412228558,2010-12-13,8007
1590.71361589247,1711.86428427607,2010-12-29,8023
1590.71361589247,1708.4790262236,2011-01-07,8032
1590.71361589247,1705.13731726929,2011-01-14,8039
1567.90623957929,1701.84667866749,2011-04-13,8128
1567.90623957929,1698.59568255738,2011-07-09,8215
1567.90623957929,1695.3882880763,2011-09-11,8279
1567.90623957929,1692.2092982775,2011-09-27,8295
1454.55129097355,1689.06829124864,2013-01-11,8767
1432.01266218542,1685.9584255596,2013-05-27,8903
1432.01266218542,1682.88842345744,2013-07-30,8967
1432.01266218542,1679.83705548627,2013-08-15,8983
