Raw_TermEst,Smoothed,dates,time
2655.21086132047,2565.66294301826,1989-05-30,0
2205.9043997263,2546.84253555578,1993-06-10,1472
2240.32818842553,2525.63997372381,1993-09-30,1584
2274.47992419176,2502.38348091117,1994-05-12,1808
2274.47992419176,2477.56227312827,1994-05-28,1824
2274.47992419176,2451.95839106194,1994-06-29,1856
2308.43026681051,2426.45456515196,1994-07-31,1888
2308.43026681051,2401.85709034729,1994-09-01,1920
2240.32818842553,2378.90751295724,1995-05-15,2176
2240.32818842553,2358.14013054411,1996-09-06,2656
2240.32818842553,2339.91261907698,1996-09-22,2672
2240.32818842553,2324.31530372954,1997-07-07,2960
2240.32818842553,2311.31252352912,1997-09-09,3024
2240.32818842553,2300.68126507051,1998-05-23,3280
2240.32818842553,2292.1458912033,1998-09-12,3392
2240.32818842553,2285.40098979605,1998-09-28,3408
2240.32818842553,2280.14367453326,1998-10-14,3424
2029.90176852223,2276.09358077574,2000-05-28,4016
2029.90176852223,2273.00300307123,2000-08-24,4104
1958.46768706111,2270.64673674694,2001-05-31,4384
1994.22860332803,2268.86941874045,2001-06-08,4392
2029.90176852223,2267.49981957556,2001-07-26,4440
2065.46532689887,2266.44405698699,2001-09-04,4480
1958.46768706111,2265.59409405135,2002-06-11,4760
1958.46768706111,2264.87137901319,2002-08-30,4840
1958.46768706111,2264.1724251009,2003-09-02,5208
1958.46768706111,2263.49823269241,2003-09-18,5224
1958.46768706111,2262.79066386538,2004-05-15,5464
1958.46768706111,2262.00553783825,2004-06-16,5496
1958.46768706111,2261.11012142869,2004-09-04,5576
1958.46768706111,2260.06331927539,2005-07-21,5896
1994.22860332803,2258.847233415,2005-08-22,5928
1994.22860332803,2257.44750220425,2005-09-07,5944
1958.46768706111,2255.83360788494,2006-07-08,6248
1958.46768706111,2253.98347457536,2006-08-25,6296
1958.46768706111,2251.87489417619,2006-09-10,6312
1958.46768706111,2249.47477768688,2007-02-01,6456
1958.46768706111,2246.75969985809,2007-04-22,6536
1958.46768706111,2243.71548561278,2007-07-11,6616
1958.46768706111,2240.28804080258,2007-07-27,6632
1958.46768706111,2236.46091327525,2007-08-28,6664
1958.46768706111,2232.17944150092,2007-09-13,6680
1958.46768706111,2227.40262635822,2007-09-29,6696
1958.46768706111,2222.09690973528,2007-10-15,6712
1994.22860332803,2216.21094983835,2008-06-11,6952
1994.22860332803,2209.70602934386,2008-06-27,6968
1994.22860332803,2202.54262831839,2008-07-05,6976
1994.22860332803,2194.6986664866,2008-07-29,7000
1994.22860332803,2186.19270347812,2008-08-14,7016
1994.22860332803,2177.0297702934,2008-08-30,7032
1994.22860332803,2167.24965983044,2008-09-15,7048
1994.22860332803,2156.90960230843,2008-12-04,7128
1958.46768706111,2146.09469540991,2009-07-16,7352
1958.46768706111,2134.93260267747,2009-07-24,7360
1958.46768706111,2123.53432346642,2009-08-01,7368
1958.46768706111,2112.04188770258,2009-08-09,7376
1958.46768706111,2100.60070224387,2009-08-25,7392
1958.46768706111,2089.32873471286,2009-09-10,7408
1958.46768706111,2078.36306233258,2009-11-21,7480
1886.89600502198,2067.82671944182,2010-06-01,7672
1922.66543935493,2057.79671204722,2010-07-03,7704
1922.66543935493,2048.33357237734,2010-07-19,7720
1922.66543935493,2039.47841337081,2010-07-27,7728
1922.66543935493,2031.26856103207,2010-08-04,7736
1922.66543935493,2023.69986516677,2010-08-20,7752
1958.46768706111,2016.75484187307,2010-09-05,7768
1886.89600502198,2010.4086567018,2011-04-25,8000
1922.66543935493,2004.66018989986,2011-06-28,8064
1958.46768706111,1999.46873051914,2011-07-06,8072
1958.46768706111,1994.79671392704,2011-07-14,8080
1958.46768706111,1990.61216329005,2011-07-22,8088
1958.46768706111,1986.88003644791,2011-08-15,8112
1958.46768706111,1983.57724124744,2011-08-23,8120
1958.46768706111,1980.67491525473,2011-09-08,8136
1958.46768706111,1978.15472717865,2011-10-02,8160
1922.66543935493,1975.9868568291,2012-07-08,8440
1958.46768706111,1974.14402790964,2012-08-09,8472
1958.46768706111,1972.60258725098,2012-08-25,8488
1994.22860332803,1971.32456709723,2012-09-10,8504
1922.66543935493,1970.30584807142,2013-04-30,8736
1922.66543935493,1969.50267866078,2013-05-16,8752
1922.66543935493,1968.88566902348,2013-06-01,8768
1922.66543935493,1968.42135359672,2013-06-09,8776
1958.46768706111,1968.08611857986,2013-06-25,8792
1958.46768706111,1967.85929430876,2013-07-19,8816
1958.46768706111,1967.70713538939,2013-07-27,8824
1958.46768706111,1967.60207945505,2013-08-28,8856
1958.46768706111,1967.53249016338,2013-09-13,8872
1958.46768706111,1967.46399132541,2013-09-29,8888
1958.46768706111,1967.39736611209,2013-10-07,8896
1958.46768706111,1967.31093924178,2013-10-15,8904
1958.46768706111,1967.18599983078,2013-10-23,8912
1958.46768706111,1967.0097040421,2013-11-08,8928
1922.66543935493,1966.77286281506,2014-02-28,9040
1922.66543935493,1966.46509609731,2014-04-01,9072
1922.66543935493,1966.07884157083,2014-05-03,9104
1958.46768706111,1965.60793714646,2014-07-14,9176
1958.46768706111,1965.04809370545,2014-07-22,9184
1958.46768706111,1964.39820726407,2014-08-07,9200
1958.46768706111,1963.65963718446,2014-09-08,9232
1958.46768706111,1962.83478094574,2014-09-16,9240
1958.46768706111,1961.92994403905,2014-10-02,9256
1958.46768706111,1960.95381673927,2014-11-11,9296
1958.46768706111,1959.91821976582,2014-12-13,9328
1958.46768706111,1958.8376251137,2014-12-29,9344
1958.46768706111,1957.73193685177,2015-01-14,9360
1958.46768706111,1956.6146707615,2015-03-19,9424
1958.46768706111,1955.50713192944,2015-05-22,9488
1958.46768706111,1954.4295310933,2015-07-17,9544
1958.46768706111,1953.40172381103,2015-08-18,9576
1958.46768706111,1952.4445995466,2015-09-27,9616
1958.46768706111,1951.57215523798,2015-10-13,9632
1958.46768706111,1950.80049317952,2015-10-29,9648
1958.46768706111,1950.14082464052,2015-11-30,9680
1958.46768706111,1949.60144251498,2015-12-16,9696
1958.46768706111,1949.18947079532,2016-03-05,9776
1958.46768706111,1948.90074946761,2016-06-25,9888
1994.22860332803,1948.73426651143,2016-08-28,9952
1994.22860332803,1948.68494020319,2016-09-05,9960
1994.22860332803,1948.74574918848,2016-09-21,9976
1994.22860332803,1948.91004875023,2016-09-29,9984
1994.22860332803,1949.16764768404,2016-10-15,10000
1958.46768706111,1949.50822756375,2017-03-08,10144
1958.46768706111,1949.92356588442,2017-03-24,10160
1958.46768706111,1950.40736414033,2017-04-09,10176
1958.46768706111,1950.95494616747,2017-04-25,10192
1958.46768706111,1951.56245016243,2017-05-27,10224
1958.46768706111,1952.22712745433,2017-06-12,10240
1994.22860332803,1952.94782999251,2017-08-15,10304
1994.22860332803,1953.72431800308,2017-09-08,10328
1994.22860332803,1954.55699727688,2017-09-24,10344
1994.22860332803,1955.44651419661,2017-10-02,10352
1958.46768706111,1956.39318770172,2018-01-22,10464
1958.46768706111,1957.3969014045,2018-02-07,10480
1958.46768706111,1958.45662349166,2018-02-23,10496
1958.46768706111,1959.57018416955,2018-04-12,10544
1958.46768706111,1960.7340605384,2018-04-28,10560
1958.46768706111,1961.94330655844,2018-05-30,10592
1958.46768706111,1963.19168152573,2018-06-07,10600
1994.22860332803,1964.47136388967,2018-07-01,10624
1994.22860332803,1965.77427914955,2018-08-02,10656
1994.22860332803,1967.0923671615,2018-08-10,10664
1994.22860332803,1968.41591030219,2018-08-18,10672
1994.22860332803,1969.7364545642,2018-08-26,10680
1994.22860332803,1971.04597921604,2018-09-03,10688
1994.22860332803,1972.33814115076,2018-09-11,10696
1994.22860332803,1973.60657494606,2018-09-19,10704
1994.22860332803,1974.84765789411,2018-11-06,10752
1958.46768706111,1976.0585772398,2019-04-15,10912
1958.46768706111,1977.23800515919,2019-05-01,10928
1958.46768706111,1978.3874932993,2019-06-18,10976
1958.46768706111,1979.50367183352,2019-07-04,10992
1958.46768706111,1980.58951206416,2019-07-12,11000
1994.22860332803,1981.64727104812,2019-07-20,11008
1994.22860332803,1982.67957756014,2019-08-13,11032
2029.90176852223,1983.68795845275,2019-09-06,11056
2029.90176852223,1984.67362025278,2019-09-14,11064
2029.90176852223,1985.63882020587,2019-09-22,11072
2029.90176852223,1986.58567142717,2019-10-16,11096
2065.46532689887,1987.51592025184,2019-11-09,11120
2065.46532689887,1988.43086646171,2019-12-03,11144
