Raw_TermEst,Smoothed,dates,time
3626.96132604084,3640.35110225027,1986-10-11,0
3668.11713326984,3640.10336464323,1988-07-12,640
3668.11713326984,3639.81175120368,1988-07-28,656
3626.96132604084,3639.47571656528,1988-11-01,752
3668.11713326984,3639.0925937292,1988-11-17,768
3626.96132604084,3638.66213647789,1989-05-28,960
3626.96132604084,3638.18528089329,1989-09-17,1072
3626.96132604084,3637.65625347702,1989-10-19,1104
3585.45718106029,3637.08232720674,1990-06-16,1344
3626.96132604084,3636.46183500067,1990-10-22,1472
3626.96132604084,3635.79758148244,1990-11-07,1488
3585.45718106029,3635.08830623894,1991-03-31,1632
3585.45718106029,3634.33485316955,1991-06-03,1696
3626.96132604084,3633.53608832726,1991-09-23,1808
3626.96132604084,3632.69833939052,1992-07-07,2096
3626.96132604084,3631.81868233034,1992-08-24,2144
3626.96132604084,3630.89970012739,1992-09-09,2160
3626.96132604084,3629.94304846141,1992-10-11,2192
3543.69865111376,3628.9505943309,1993-04-21,2384
3543.69865111376,3627.92313589989,1993-06-08,2432
3585.45718106029,3626.86530683935,1993-06-24,2448
3585.45718106029,3625.77728923607,1993-07-10,2464
3585.45718106029,3624.66442681733,1993-08-27,2512
3585.45718106029,3623.52879239453,1993-10-14,2560
3585.45718106029,3622.37387798324,1994-01-18,2656
3585.45718106029,3621.20347886214,1994-03-23,2720
3585.45718106029,3620.02168299851,1994-04-24,2752
3585.45718106029,3618.83325548558,1994-05-10,2768
3626.96132604084,3617.64217514512,1994-06-27,2816
3626.96132604084,3616.45351999389,1994-08-30,2880
3626.96132604084,3615.2722420807,1994-09-15,2896
3585.45718106029,3614.10337025426,1995-01-05,3008
3585.45718106029,3612.95050498195,1995-01-21,3024
3585.45718106029,3611.81957742633,1995-02-22,3056
3585.45718106029,3610.71685752719,1995-04-11,3104
3585.45718106029,3609.64522913365,1995-10-20,3296
3626.96132604084,3608.61012806304,1995-11-05,3312
3668.11713326984,3607.61433514278,1995-11-21,3328
3585.45718106029,3606.66114088545,1996-08-03,3584
3585.45718106029,3605.7546718589,1996-10-06,3648
3626.96132604084,3604.89621710262,1997-08-06,3952
3626.96132604084,3604.08764577799,1997-08-22,3968
3543.69865111376,3603.33074240625,1998-04-19,4208
3543.69865111376,3602.62600556722,1998-05-21,4240
3585.45718106029,3601.97475323647,1998-09-10,4352
3626.96132604084,3601.37644152299,1998-09-26,4368
3585.45718106029,3600.83035628465,1999-01-16,4480
3626.96132604084,3600.33565688165,1999-02-01,4496
3585.45718106029,3599.89199059226,1999-05-08,4592
3585.45718106029,3599.49706474725,1999-07-19,4664
3585.45718106029,3599.14978753447,1999-08-20,4696
3585.45718106029,3598.84762725789,1999-08-28,4704
3585.45718106029,3598.58930415571,2000-01-03,4832
3585.45718106029,3598.37237316897,2000-02-12,4872
3585.45718106029,3598.19427961424,2000-02-20,4880
3585.45718106029,3598.05246666982,2000-06-11,4992
3585.45718106029,3597.94423597803,2000-06-27,5008
3585.45718106029,3597.86598468931,2000-08-14,5056
3585.45718106029,3597.81478247886,2000-08-22,5064
3585.45718106029,3597.78918573692,2000-09-15,5088
3585.45718106029,3597.78473650597,2000-09-23,5096
3585.45718106029,3597.79654082705,2000-11-18,5152
3543.69865111376,3597.82172724892,2001-07-08,5384
